kryptolebias_marmoratus ENSKMAG00000009401
fundulus_heteroclitus ENSFHEG00000011721
oryzias_latipes_asm223467v1 ENSORLG00000028753
oryzias_latipes_asm223471v1 ENSORLG00020014702
oryzias_melastigma ENSOMEG00000019060
amphiprion_percula ENSAPEG00000021957
amphiprion_ocellaris ENSAOCG00000015915
acanthochromis_polyacanthus ENSAPOG00000000118
stegastes_partitus ENSSPAG00000015478
astatotilapia_calliptera ENSACLG00000011107
haplochromis_burtoni ENSHBUG00000009994
maylandia_zebra ENSMZEG00005027759
neolamprologus_brichardi ENSNBRG00000005768
oreochromis_niloticus ENSONIG00000002229
amphilophus_citrinellus ENSACIG00000021944
labrus_bergylta ENSLBEG00000017329
mola_mola ENSMMOG00000016609
seriola_dumerili ENSSDUG00000005867
seriola_lalandi_dorsalis ENSSLDG00000012835
scophthalmus_maximus ENSSMAG00000019519
monopterus_albus ENSMALG00000007884
mastacembelus_armatus ENSMAMG00000009731
anabas_testudineus ENSATEG00000006849
esox_lucius ENSELUG00000015794
pygocentrus_nattereri ENSPNAG00000017879
astyanax_mexicanus ENSAMXG00000001278
ictalurus_punctatus ENSIPUG00000001073
danio_rerio ENSDARG00000054136
scleropages_formosus ENSSFOG00015019786
paramormyrops_kingsleyae ENSPKIG00000012826
ciona_intestinalis ENSCING00000019765
