equus_asinus_asinus ENSEASG00005003416
equus_caballus ENSECAG00000034786
bos_taurus ENSBTAG00000053584
ursus_americanus ENSUAMG00000009680
cavia_aperea ENSCAPG00000017376
chinchilla_lanigera ENSCLAG00000006909
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007760
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000696
castor_canadensis ENSCCNG00000013950
phascolarctos_cinereus ENSPCIG00000022557
phascolarctos_cinereus ENSPCIG00000015908
seriola_dumerili ENSSDUG00000018481
scophthalmus_maximus ENSSMAG00000000681
