oryzias_latipes_asm223471v1 ENSORLG00020014618
amphiprion_percula ENSAPEG00000004912
amphiprion_ocellaris ENSAOCG00000017640
neolamprologus_brichardi ENSNBRG00000002700
poecilia_reticulata ENSPREG00000006728
oreochromis_niloticus ENSONIG00000006664
esox_lucius ENSELUG00000015609
salvator_merianae ENSSMRG00000015868
pogona_vitticeps ENSPVIG00000004586
astyanax_mexicanus ENSAMXG00000031600
paramormyrops_kingsleyae ENSPKIG00000024176
latimeria_chalumnae ENSLACG00000010410
latimeria_chalumnae ENSLACG00000006451
ciona_intestinalis ENSCING00000014091
caenorhabditis_elegans_strain_n2 WBGene00015247
caenorhabditis_elegans_strain_n2 WBGene00010704
caenorhabditis_elegans_strain_n2 WBGene00015662
drosophila_melanogaster FBgn0031874
