ursus_americanus ENSUAMG00000010614
ailuropoda_melanoleuca ENSAMEG00000019220
mustela_putorius_furo ENSMPUG00000000457
neovison_vison ENSNVIG00000018089
canis_lupus_familiaris ENSCAFG00000019057
canis_lupus_dingo ENSCAFG00020024390
vulpes_vulpes ENSVVUG00000000672
myotis_lucifugus ENSMLUG00000027197
equus_caballus ENSECAG00000034979
equus_asinus_asinus ENSEASG00005023005
capra_hircus ENSCHIG00000000318
ovis_aries ENSOARG00000009819
bos_mutus ENSBMUG00000025823
bos_taurus ENSBTAG00000016940
urocitellus_parryii ENSUPAG00010010082
spermophilus_dauricus ENSSDAG00000014229
marmota_marmota_marmota ENSMMMG00000012541
peromyscus_maniculatus_bairdii ENSPEMG00000028010
cricetulus_griseus_crigri-picr ENSCGRG00015011692
rattus_norvegicus ENSRNOG00000032418
oryctolagus_cuniculus ENSOCUG00000024125
loxodonta_africana ENSLAFG00000031155
dasypus_novemcinctus ENSDNOG00000044452
