peromyscus_maniculatus_bairdii ENSPEMG00000011160
meriones_unguiculatus ENSMUGG00000015680
oryctolagus_cuniculus ENSOCUG00000004168
cebus_capucinus_imitator ENSCCAG00000020874
saimiri_boliviensis_boliviensis ENSSBOG00000022938
gorilla_gorilla ENSGGOG00000027388
bison_bison_bison ENSBBBG00000001919
capra_hircus ENSCHIG00000021743
sus_scrofa ENSSSCG00000036349
canis_lupus_familiaris ENSCAFG00000018679
vulpes_vulpes ENSVVUG00000002736
panthera_pardus ENSPPRG00000023231
felis_catus ENSFCAG00000030405
ovis_aries ENSOARG00000020392
sus_scrofa ENSSSCG00000011206
sus_scrofa ENSSSCG00000040585
sus_scrofa ENSSSCG00000001541
felis_catus ENSFCAG00000041512
sus_scrofa ENSSSCG00000039478
saimiri_boliviensis_boliviensis ENSSBOG00000029918
aotus_nancymaae ENSANAG00000038119
oryctolagus_cuniculus ENSOCUG00000021557
cricetulus_griseus_crigri-picr ENSCGRG00015014659
phascolarctos_cinereus ENSPCIG00000011447
phascolarctos_cinereus ENSPCIG00000031089
