xiphophorus_maculatus ENSXMAG00000017643
xiphophorus_couchianus ENSXCOG00000013555
gambusia_affinis ENSGAFG00000012937
poecilia_formosa ENSPFOG00000011173
poecilia_latipinna ENSPLAG00000012189
poecilia_mexicana ENSPMEG00000018463
poecilia_reticulata ENSPREG00000007269
fundulus_heteroclitus ENSFHEG00000015551
cyprinodon_variegatus ENSCVAG00000015522
kryptolebias_marmoratus ENSKMAG00000011409
oryzias_latipes_asm223467v1 ENSORLG00000026078
oryzias_latipes_asm223471v1 ENSORLG00020018534
oryzias_latipes_asm223469v1 ENSORLG00015014294
oryzias_melastigma ENSOMEG00000019704
maylandia_zebra ENSMZEG00005028335
astatotilapia_calliptera ENSACLG00000017372
haplochromis_burtoni ENSHBUG00000017585
oreochromis_niloticus ENSONIG00000005236
oreochromis_niloticus ENSONIG00000005237
maylandia_zebra ENSMZEG00005028334
oreochromis_niloticus ENSONIG00000014387
hippocampus_comes ENSHCOG00000017245
cynoglossus_semilaevis ENSCSEG00000010336
seriola_dumerili ENSSDUG00000016221
seriola_lalandi_dorsalis ENSSLDG00000003761
scophthalmus_maximus ENSSMAG00000013464
mastacembelus_armatus ENSMAMG00000014104
monopterus_albus ENSMALG00000009162
anabas_testudineus ENSATEG00000024996
mola_mola ENSMMOG00000010421
takifugu_rubripes ENSTRUG00000008529
labrus_bergylta ENSLBEG00000016059
gasterosteus_aculeatus ENSGACG00000006994
amphiprion_percula ENSAPEG00000005886
amphiprion_ocellaris ENSAOCG00000015209
acanthochromis_polyacanthus ENSAPOG00000002728
stegastes_partitus ENSSPAG00000020437
periophthalmus_magnuspinnatus ENSPMGG00000005351
monopterus_albus ENSMALG00000009174
seriola_lalandi_dorsalis ENSSLDG00000003748
pygocentrus_nattereri ENSPNAG00000000671
astyanax_mexicanus ENSAMXG00000039145
ictalurus_punctatus ENSIPUG00000011229
danio_rerio ENSDARG00000013681
danio_rerio ENSDARG00000071543
lepisosteus_oculatus ENSLOCG00000013817
