poecilia_mexicana ENSPMEG00000016916
poecilia_latipinna ENSPLAG00000003992
poecilia_formosa ENSPFOG00000000782
poecilia_reticulata ENSPREG00000012744
xiphophorus_couchianus ENSXCOG00000016798
xiphophorus_maculatus ENSXMAG00000000296
gambusia_affinis ENSGAFG00000001691
cyprinodon_variegatus ENSCVAG00000004559
fundulus_heteroclitus ENSFHEG00000014055
kryptolebias_marmoratus ENSKMAG00000019760
oryzias_latipes_asm223469v1 ENSORLG00015013596
oryzias_latipes_asm223467v1 ENSORLG00000000799
oryzias_latipes_asm223471v1 ENSORLG00020004562
oryzias_melastigma ENSOMEG00000013859
takifugu_rubripes ENSTRUG00000012627
tetraodon_nigroviridis ENSTNIG00000015747
cynoglossus_semilaevis ENSCSEG00000002875
mola_mola ENSMMOG00000004128
labrus_bergylta ENSLBEG00000003607
monopterus_albus ENSMALG00000007538
mastacembelus_armatus ENSMAMG00000019576
anabas_testudineus ENSATEG00000000690
gasterosteus_aculeatus ENSGACG00000017489
seriola_lalandi_dorsalis ENSSLDG00000004117
seriola_dumerili ENSSDUG00000004847
scophthalmus_maximus ENSSMAG00000012289
amphiprion_percula ENSAPEG00000004704
amphiprion_ocellaris ENSAOCG00000018305
acanthochromis_polyacanthus ENSAPOG00000013656
stegastes_partitus ENSSPAG00000001547
maylandia_zebra ENSMZEG00005008469
astatotilapia_calliptera ENSACLG00000002370
pundamilia_nyererei ENSPNYG00000009085
haplochromis_burtoni ENSHBUG00000018278
neolamprologus_brichardi ENSNBRG00000012114
oreochromis_niloticus ENSONIG00000002473
amphilophus_citrinellus ENSACIG00000014134
periophthalmus_magnuspinnatus ENSPMGG00000020811
hippocampus_comes ENSHCOG00000007757
gadus_morhua ENSGMOG00000011494
esox_lucius ENSELUG00000016227
pygocentrus_nattereri ENSPNAG00000017691
astyanax_mexicanus ENSAMXG00000011610
ictalurus_punctatus ENSIPUG00000009852
danio_rerio ENSDARG00000009218
scleropages_formosus ENSSFOG00015004532
paramormyrops_kingsleyae ENSPKIG00000021425
lepisosteus_oculatus ENSLOCG00000015357
latimeria_chalumnae ENSLACG00000007705
gopherus_agassizii ENSGAGG00000009486
chelonoidis_abingdonii ENSCABG00000022506
chrysemys_picta_bellii ENSCPBG00000012041
pelodiscus_sinensis ENSPSIG00000009657
gallus_gallus ENSGALG00000004019
meleagris_gallopavo ENSMGAG00000001828
coturnix_japonica ENSCJPG00005003851
numida_meleagris ENSNMEG00000011052
anser_brachyrhynchus ENSABRG00000008040
taeniopygia_guttata ENSTGUG00000005225
lonchura_striata_domestica ENSLSDG00000003387
serinus_canaria ENSSCAG00000015984
junco_hyemalis ENSJHYG00000013728
parus_major ENSPMJG00000012396
cyanistes_caeruleus ENSCCEG00000019773
ficedula_albicollis ENSFALG00000011592
manacus_vitellinus ENSMVIG00005010629
lepidothrix_coronata ENSLCOG00000009108
calidris_pygmaea ENSCPGG00000000113
calidris_pugnax ENSCPUG00000008228
apteryx_haastii ENSAHAG00000004060
apteryx_owenii ENSAOWG00000012549
apteryx_rowi ENSARWG00000003365
dromaius_novaehollandiae ENSDNVG00000014750
nothoprocta_perdicaria ENSNPEG00000004770
sphenodon_punctatus ENSSPUG00000005569
anolis_carolinensis ENSACAG00000008856
pogona_vitticeps ENSPVIG00000005780
notechis_scutatus ENSNSUG00000002031
salvator_merianae ENSSMRG00000013180
