mesocricetus_auratus ENSMAUG00000014573
microtus_ochrogaster ENSMOCG00000021096
peromyscus_maniculatus_bairdii ENSPEMG00000012538
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000069385
mus_spicilegus ENSMSIG00000023996
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023151
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022241
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018974
rattus_norvegicus ENSRNOG00000039250
meriones_unguiculatus ENSMUGG00000001399
cricetulus_griseus_crigri-picr ENSCGRG00015004337
cricetulus_griseus_crigri-picr ENSCGRG00015004361
spermophilus_dauricus ENSSDAG00000017887
ailuropoda_melanoleuca ENSAMEG00000018573
ursus_americanus ENSUAMG00000024731
neovison_vison ENSNVIG00000009941
