danio_rerio ENSDARG00000079266
ictalurus_punctatus ENSIPUG00000001785
takifugu_rubripes ENSTRUG00000010676
tetraodon_nigroviridis ENSTNIG00000011038
mola_mola ENSMMOG00000006260
gasterosteus_aculeatus ENSGACG00000017386
astatotilapia_calliptera ENSACLG00000022633
oreochromis_niloticus ENSONIG00000020567
stegastes_partitus ENSSPAG00000008568
xiphophorus_maculatus ENSXMAG00000020182
gambusia_affinis ENSGAFG00000016443
poecilia_mexicana ENSPMEG00000020842
poecilia_formosa ENSPFOG00000019959
poecilia_reticulata ENSPREG00000002193
fundulus_heteroclitus ENSFHEG00000018868
kryptolebias_marmoratus ENSKMAG00000002349
oryzias_latipes_asm223467v1 ENSORLG00000007101
oryzias_latipes_asm223471v1 ENSORLG00020019026
oryzias_latipes_asm223469v1 ENSORLG00015018418
oryzias_melastigma ENSOMEG00000005077
mastacembelus_armatus ENSMAMG00000015406
scophthalmus_maximus ENSSMAG00000006349
periophthalmus_magnuspinnatus ENSPMGG00000001357
gadus_morhua ENSGMOG00000016511
lepisosteus_oculatus ENSLOCG00000018054
xenopus_tropicalis ENSXETG00000024889
latimeria_chalumnae ENSLACG00000012261
