gallus_gallus ENSGALG00000036297
meleagris_gallopavo ENSMGAG00000001860
coturnix_japonica ENSCJPG00005011146
numida_meleagris ENSNMEG00000003386
anser_brachyrhynchus ENSABRG00000014189
calidris_pygmaea ENSCPGG00000008727
calidris_pugnax ENSCPUG00000001362
melopsittacus_undulatus ENSMUNG00000008041
lepidothrix_coronata ENSLCOG00000013400
dromaius_novaehollandiae ENSDNVG00000013816
apteryx_rowi ENSARWG00000015699
nothoprocta_perdicaria ENSNPEG00000002014
crocodylus_porosus ENSCPRG00005000939
gopherus_agassizii ENSGAGG00000009652
chelonoidis_abingdonii ENSCABG00000004206
chrysemys_picta_bellii ENSCPBG00000012422
pelodiscus_sinensis ENSPSIG00000015080
sphenodon_punctatus ENSSPUG00000007232
salvator_merianae ENSSMRG00000008018
pogona_vitticeps ENSPVIG00000013061
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003401
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016975
octodon_degus ENSODEG00000001471
chinchilla_lanigera ENSCLAG00000008511
cavia_aperea ENSCAPG00000005695
cavia_porcellus ENSCPOG00000006938
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000007950
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032303
mus_spicilegus ENSMSIG00000030613
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031184
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021649
rattus_norvegicus ENSRNOG00000000054
meriones_unguiculatus ENSMUGG00000023290
peromyscus_maniculatus_bairdii ENSPEMG00000010266
microtus_ochrogaster ENSMOCG00000013739
cricetulus_griseus_crigri-picr ENSCGRG00015004826
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010324
cricetulus_griseus_crigri_1.0 ENSCGRG00000007243
mesocricetus_auratus ENSMAUG00000001821
nannospalax_galili ENSNGAG00000022805
jaculus_jaculus ENSJJAG00000010342
ochotona_princeps ENSOPRG00000000849
castor_canadensis ENSCCNG00000021045
dipodomys_ordii ENSDORG00000012739
tupaia_belangeri ENSTBEG00000012482
propithecus_coquereli ENSPCOG00000018319
propithecus_coquereli ENSPCOG00000021807
prolemur_simus ENSPSMG00000025028
otolemur_garnettii ENSOGAG00000007003
pan_troglodytes ENSPTRG00000010666
pan_paniscus ENSPPAG00000006875
homo_sapiens ENSG00000127220
gorilla_gorilla ENSGGOG00000005794
pongo_abelii ENSPPYG00000009707
nomascus_leucogenys ENSNLEG00000005723
rhinopithecus_roxellana ENSRROG00000039901
colobus_angolensis_palliatus ENSCANG00000029273
piliocolobus_tephrosceles ENSPTEG00000032882
cercocebus_atys ENSCATG00000040979
mandrillus_leucophaeus ENSMLEG00000035464
theropithecus_gelada ENSTGEG00000012093
macaca_nemestrina ENSMNEG00000034693
macaca_fascicularis ENSMFAG00000028796
papio_anubis ENSPANG00000004510
chlorocebus_sabaeus ENSCSAG00000005631
cebus_capucinus_imitator ENSCCAG00000026840
saimiri_boliviensis_boliviensis ENSSBOG00000022994
callithrix_jacchus ENSCJAG00000009699
aotus_nancymaae ENSANAG00000022324
ictidomys_tridecemlineatus ENSSTOG00000006236
urocitellus_parryii ENSUPAG00010019500
marmota_marmota_marmota ENSMMMG00000023546
myotis_lucifugus ENSMLUG00000003994
