numida_meleagris ENSNMEG00000004490
dromaius_novaehollandiae ENSDNVG00000007081
astyanax_mexicanus ENSAMXG00000029394
ficedula_albicollis ENSFALG00000000694
serinus_canaria ENSSCAG00000007895
junco_hyemalis ENSJHYG00000004444
parus_major ENSPMJG00000018427
lonchura_striata_domestica ENSLSDG00000016563
lepidothrix_coronata ENSLCOG00000001145
calidris_pugnax ENSCPUG00000016338
calidris_pygmaea ENSCPGG00000001974
gallus_gallus ENSGALG00000034964
apteryx_owenii ENSAOWG00000011818
apteryx_haastii ENSAHAG00000011666
apteryx_rowi ENSARWG00000010465
nothoprocta_perdicaria ENSNPEG00000007100
crocodylus_porosus ENSCPRG00005003362
chelonoidis_abingdonii ENSCABG00000009852
gopherus_agassizii ENSGAGG00000020012
chrysemys_picta_bellii ENSCPBG00000024928
pelodiscus_sinensis ENSPSIG00000003581
anolis_carolinensis ENSACAG00000017840
pogona_vitticeps ENSPVIG00000023287
notechis_scutatus ENSNSUG00000013898
salvator_merianae ENSSMRG00000002437
sphenodon_punctatus ENSSPUG00000017914
capra_hircus ENSCHIG00000022293
ovis_aries ENSOARG00000003646
bos_mutus ENSBMUG00000017014
bison_bison_bison ENSBBBG00000013744
sus_scrofa ENSSSCG00000003572
tursiops_truncatus ENSTTRG00000015458
equus_asinus_asinus ENSEASG00005008710
equus_caballus ENSECAG00000020672
ursus_americanus ENSUAMG00000008660
ailuropoda_melanoleuca ENSAMEG00000010899
neovison_vison ENSNVIG00000023745
mustela_putorius_furo ENSMPUG00000015617
canis_lupus_familiaris ENSCAFG00000012169
vulpes_vulpes ENSVVUG00000012094
felis_catus ENSFCAG00000030775
panthera_pardus ENSPPRG00000001681
pteropus_vampyrus ENSPVAG00000008473
chinchilla_lanigera ENSCLAG00000011750
octodon_degus ENSODEG00000003707
cavia_porcellus ENSCPOG00000012354
cavia_aperea ENSCAPG00000015085
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011880
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015032
urocitellus_parryii ENSUPAG00010021146
marmota_marmota_marmota ENSMMMG00000013574
ictidomys_tridecemlineatus ENSSTOG00000014242
castor_canadensis ENSCCNG00000026709
dipodomys_ordii ENSDORG00000009466
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028860
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027566
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026585
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028918
rattus_norvegicus ENSRNOG00000008600
meriones_unguiculatus ENSMUGG00000020516
peromyscus_maniculatus_bairdii ENSPEMG00000011614
microtus_ochrogaster ENSMOCG00000006535
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013995
cricetulus_griseus_crigri_1.0 ENSCGRG00000006969
cricetulus_griseus_crigri-picr ENSCGRG00015016293
mesocricetus_auratus ENSMAUG00000018014
nannospalax_galili ENSNGAG00000014815
jaculus_jaculus ENSJJAG00000011352
oryctolagus_cuniculus ENSOCUG00000002371
gorilla_gorilla ENSGGOG00000000043
homo_sapiens ENSG00000142765
pan_paniscus ENSPPAG00000011464
pan_troglodytes ENSPTRG00000000403
pongo_abelii ENSPPYG00000001666
nomascus_leucogenys ENSNLEG00000009521
colobus_angolensis_palliatus ENSCANG00000013609
rhinopithecus_roxellana ENSRROG00000037744
cercocebus_atys ENSCATG00000044339
mandrillus_leucophaeus ENSMLEG00000044240
papio_anubis ENSPANG00000005720
theropithecus_gelada ENSTGEG00000008342
macaca_fascicularis ENSMFAG00000002518
macaca_nemestrina ENSMNEG00000038366
macaca_mulatta ENSMMUG00000004768
chlorocebus_sabaeus ENSCSAG00000000991
saimiri_boliviensis_boliviensis ENSSBOG00000022361
cebus_capucinus_imitator ENSCCAG00000024708
