callithrix_jacchus ENSCJAG00000043435
aotus_nancymaae ENSANAG00000028674
gorilla_gorilla ENSGGOG00000036901
pan_paniscus ENSPPAG00000036606
homo_sapiens ENSG00000196214
pongo_abelii ENSPPYG00000010337
pan_troglodytes ENSPTRG00000039448
nomascus_leucogenys ENSNLEG00000006032
macaca_nemestrina ENSMNEG00000028541
macaca_mulatta ENSMMUG00000001316
theropithecus_gelada ENSTGEG00000004843
chlorocebus_sabaeus ENSCSAG00000001983
rhinopithecus_bieti ENSRBIG00000043680
colobus_angolensis_palliatus ENSCANG00000029963
macaca_fascicularis ENSMFAG00000001530
mandrillus_leucophaeus ENSMLEG00000040389
piliocolobus_tephrosceles ENSPTEG00000025012
papio_anubis ENSPANG00000003563
