scophthalmus_maximus ENSSMAG00000016335
labrus_bergylta ENSLBEG00000006434
astatotilapia_calliptera ENSACLG00000019451
pundamilia_nyererei ENSPNYG00000011772
haplochromis_burtoni ENSHBUG00000008161
maylandia_zebra ENSMZEG00005017877
neolamprologus_brichardi ENSNBRG00000018512
acanthochromis_polyacanthus ENSAPOG00000008835
xiphophorus_maculatus ENSXMAG00000027684
xiphophorus_couchianus ENSXCOG00000004399
hippocampus_comes ENSHCOG00000014325
ictalurus_punctatus ENSIPUG00000019603
gambusia_affinis ENSGAFG00000018332
cyprinodon_variegatus ENSCVAG00000021580
oryzias_latipes_asm223471v1 ENSORLG00020005424
oryzias_latipes_asm223469v1 ENSORLG00015002667
oryzias_latipes_asm223467v1 ENSORLG00000024976
oryzias_melastigma ENSOMEG00000005301
scleropages_formosus ENSSFOG00015016489
chelonoidis_abingdonii ENSCABG00000007213
sphenodon_punctatus ENSSPUG00000000940
manacus_vitellinus ENSMVIG00005016515
calidris_pugnax ENSCPUG00000014433
melopsittacus_undulatus ENSMUNG00000005386
anas_platyrhynchos_platyrhynchos ENSAPLG00000027425
apteryx_owenii ENSAOWG00000004569
nothoprocta_perdicaria ENSNPEG00000015584
pogona_vitticeps ENSPVIG00000012426
notechis_scutatus ENSNSUG00000011592
sus_scrofa ENSSSCG00000021273
