echinops_telfairi ENSETEG00000008498
erinaceus_europaeus ENSEEUG00000001099
loxodonta_africana ENSLAFG00000031196
procavia_capensis ENSPCAG00000016180
equus_asinus_asinus ENSEASG00005003951
equus_caballus ENSECAG00000028281
myotis_lucifugus ENSMLUG00000004809
tursiops_truncatus ENSTTRG00000005670
vicugna_pacos ENSVPAG00000010009
bos_mutus ENSBMUG00000017920
bison_bison_bison ENSBBBG00000012114
capra_hircus ENSCHIG00000011645
ovis_aries ENSOARG00000003546
sus_scrofa ENSSSCG00000027428
vulpes_vulpes ENSVVUG00000020985
canis_lupus_dingo ENSCAFG00020016008
neovison_vison ENSNVIG00000000065
ursus_maritimus ENSUMAG00000006158
ursus_americanus ENSUAMG00000017567
ailuropoda_melanoleuca ENSAMEG00000018496
panthera_tigris_altaica ENSPTIG00000005618
panthera_pardus ENSPPRG00000017398
felis_catus ENSFCAG00000003152
microcebus_murinus ENSMICG00000045497
propithecus_coquereli ENSPCOG00000001278
prolemur_simus ENSPSMG00000016909
propithecus_coquereli ENSPCOG00000024395
prolemur_simus ENSPSMG00000019321
otolemur_garnettii ENSOGAG00000030512
rhinopithecus_roxellana ENSRROG00000026914
rhinopithecus_bieti ENSRBIG00000026278
piliocolobus_tephrosceles ENSPTEG00000016919
colobus_angolensis_palliatus ENSCANG00000020030
macaca_nemestrina ENSMNEG00000004506
macaca_fascicularis ENSMFAG00000029776
macaca_mulatta ENSMMUG00000020779
chlorocebus_sabaeus ENSCSAG00000000448
theropithecus_gelada ENSTGEG00000009831
mandrillus_leucophaeus ENSMLEG00000013188
papio_anubis ENSPANG00000011315
cercocebus_atys ENSCATG00000004671
pan_troglodytes ENSPTRG00000050140
pan_paniscus ENSPPAG00000022923
homo_sapiens ENSG00000168913
gorilla_gorilla ENSGGOG00000040510
pongo_abelii ENSPPYG00000019119
nomascus_leucogenys ENSNLEG00000028530
cebus_capucinus_imitator ENSCCAG00000011524
saimiri_boliviensis_boliviensis ENSSBOG00000019081
aotus_nancymaae ENSANAG00000017683
carlito_syrichta ENSTSYG00000032682
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025918
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028445
mus_spicilegus ENSMSIG00000005694
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026866
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024041
meriones_unguiculatus ENSMUGG00000019244
cricetulus_griseus_crigri_1.0 ENSCGRG00000019891
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002684
mesocricetus_auratus ENSMAUG00000021189
microtus_ochrogaster ENSMOCG00000020747
peromyscus_maniculatus_bairdii ENSPEMG00000029376
nannospalax_galili ENSNGAG00000002481
jaculus_jaculus ENSJJAG00000004696
castor_canadensis ENSCCNG00000029461
dipodomys_ordii ENSDORG00000000558
ictidomys_tridecemlineatus ENSSTOG00000021311
urocitellus_parryii ENSUPAG00010007069
marmota_marmota_marmota ENSMMMG00000008352
octodon_degus ENSODEG00000020230
chinchilla_lanigera ENSCLAG00000006659
cavia_aperea ENSCAPG00000013296
cavia_porcellus ENSCPOG00000032471
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006995
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014988
fukomys_damarensis ENSFDAG00000015980
rattus_norvegicus ENSRNOG00000043300
oryctolagus_cuniculus ENSOCUG00000015352
dasypus_novemcinctus ENSDNOG00000034915
