danio_rerio ENSDARG00000074323
astyanax_mexicanus ENSAMXG00000001298
labrus_bergylta ENSLBEG00000003485
cynoglossus_semilaevis ENSCSEG00000000319
acanthochromis_polyacanthus ENSAPOG00000021064
stegastes_partitus ENSSPAG00000010278
xiphophorus_maculatus ENSXMAG00000028544
gambusia_affinis ENSGAFG00000005662
poecilia_reticulata ENSPREG00000010453
fundulus_heteroclitus ENSFHEG00000021508
cyprinodon_variegatus ENSCVAG00000010822
oryzias_latipes_asm223469v1 ENSORLG00015001442
oryzias_latipes_asm223467v1 ENSORLG00000011061
oryzias_latipes_asm223471v1 ENSORLG00020003250
astatotilapia_calliptera ENSACLG00000009568
pundamilia_nyererei ENSPNYG00000017054
maylandia_zebra ENSMZEG00005010882
haplochromis_burtoni ENSHBUG00000018735
neolamprologus_brichardi ENSNBRG00000003520
oreochromis_niloticus ENSONIG00000017098
tetraodon_nigroviridis ENSTNIG00000017693
mola_mola ENSMMOG00000001221
seriola_dumerili ENSSDUG00000001107
seriola_lalandi_dorsalis ENSSLDG00000024293
periophthalmus_magnuspinnatus ENSPMGG00000002021
lepisosteus_oculatus ENSLOCG00000016651
manacus_vitellinus ENSMVIG00005008668
lepidothrix_coronata ENSLCOG00000009260
junco_hyemalis ENSJHYG00000000292
zonotrichia_albicollis ENSZALG00000011443
coturnix_japonica ENSCJPG00005013807
