amphiprion_percula ENSAPEG00000009654
hippocampus_comes ENSHCOG00000003164
periophthalmus_magnuspinnatus ENSPMGG00000018839
mola_mola ENSMMOG00000011565
neolamprologus_brichardi ENSNBRG00000018787
pundamilia_nyererei ENSPNYG00000007963
amphilophus_citrinellus ENSACIG00000021323
fundulus_heteroclitus ENSFHEG00000002948
monopterus_albus ENSMALG00000019265
periophthalmus_magnuspinnatus ENSPMGG00000014662
cyprinodon_variegatus ENSCVAG00000012854
periophthalmus_magnuspinnatus ENSPMGG00000010948
labrus_bergylta ENSLBEG00000022237
junco_hyemalis ENSJHYG00000001602
serinus_canaria ENSSCAG00000002539
parus_major ENSPMJG00000002541
melopsittacus_undulatus ENSMUNG00000001305
apteryx_rowi ENSARWG00000015447
prolemur_simus ENSPSMG00000006777
spermophilus_dauricus ENSSDAG00000000730
urocitellus_parryii ENSUPAG00010018639
chelonoidis_abingdonii ENSCABG00000013621
nothoprocta_perdicaria ENSNPEG00000011266
notechis_scutatus ENSNSUG00000018059
