oryzias_latipes_asm223471v1 ENSORLG00020022091
oryzias_latipes_asm223467v1 ENSORLG00000002331
oryzias_latipes_asm223469v1 ENSORLG00015021591
oryzias_melastigma ENSOMEG00000013683
kryptolebias_marmoratus ENSKMAG00000003323
scophthalmus_maximus ENSSMAG00000010945
amphiprion_percula ENSAPEG00000012717
amphiprion_ocellaris ENSAOCG00000007978
acanthochromis_polyacanthus ENSAPOG00000007961
stegastes_partitus ENSSPAG00000006057
neolamprologus_brichardi ENSNBRG00000019176
oreochromis_niloticus ENSONIG00000013379
astatotilapia_calliptera ENSACLG00000009231
pundamilia_nyererei ENSPNYG00000009439
maylandia_zebra ENSMZEG00005014590
haplochromis_burtoni ENSHBUG00000004324
amphilophus_citrinellus ENSACIG00000024035
monopterus_albus ENSMALG00000000419
mastacembelus_armatus ENSMAMG00000021187
anabas_testudineus ENSATEG00000016424
seriola_dumerili ENSSDUG00000022324
seriola_lalandi_dorsalis ENSSLDG00000006008
takifugu_rubripes ENSTRUG00000007905
tetraodon_nigroviridis ENSTNIG00000008340
mola_mola ENSMMOG00000019627
gasterosteus_aculeatus ENSGACG00000014709
labrus_bergylta ENSLBEG00000014047
xiphophorus_maculatus ENSXMAG00000026231
xiphophorus_couchianus ENSXCOG00000020430
gambusia_affinis ENSGAFG00000007649
poecilia_formosa ENSPFOG00000014013
poecilia_latipinna ENSPLAG00000015824
poecilia_mexicana ENSPMEG00000001915
poecilia_reticulata ENSPREG00000016885
fundulus_heteroclitus ENSFHEG00000008197
cyprinodon_variegatus ENSCVAG00000012355
cynoglossus_semilaevis ENSCSEG00000005877
hippocampus_comes ENSHCOG00000010040
periophthalmus_magnuspinnatus ENSPMGG00000011803
gadus_morhua ENSGMOG00000016252
esox_lucius ENSELUG00000002443
pygocentrus_nattereri ENSPNAG00000024183
astyanax_mexicanus ENSAMXG00000037058
ictalurus_punctatus ENSIPUG00000009009
danio_rerio ENSDARG00000012051
scleropages_formosus ENSSFOG00015023473
paramormyrops_kingsleyae ENSPKIG00000014696
lepisosteus_oculatus ENSLOCG00000004303
chelonoidis_abingdonii ENSCABG00000021568
gopherus_agassizii ENSGAGG00000018982
chrysemys_picta_bellii ENSCPBG00000020196
pelodiscus_sinensis ENSPSIG00000005482
crocodylus_porosus ENSCPRG00005001979
anolis_carolinensis ENSACAG00000009731
pogona_vitticeps ENSPVIG00000002821
notechis_scutatus ENSNSUG00000004836
salvator_merianae ENSSMRG00000020324
sphenodon_punctatus ENSSPUG00000005152
lepidothrix_coronata ENSLCOG00000016064
manacus_vitellinus ENSMVIG00005018376
cyanistes_caeruleus ENSCCEG00000023319
parus_major ENSPMJG00000018255
zonotrichia_albicollis ENSZALG00000017864
junco_hyemalis ENSJHYG00000009242
serinus_canaria ENSSCAG00000002451
ficedula_albicollis ENSFALG00000004003
lonchura_striata_domestica ENSLSDG00000010720
taeniopygia_guttata ENSTGUG00000010049
calidris_pygmaea ENSCPGG00000001075
melopsittacus_undulatus ENSMUNG00000011135
gallus_gallus ENSGALG00000008493
meleagris_gallopavo ENSMGAG00000008350
coturnix_japonica ENSCJPG00005015350
numida_meleagris ENSNMEG00000021800
anser_brachyrhynchus ENSABRG00000016786
anas_platyrhynchos_platyrhynchos ENSAPLG00000007133
apteryx_haastii ENSAHAG00000015896
apteryx_owenii ENSAOWG00000018498
apteryx_rowi ENSARWG00000004117
dromaius_novaehollandiae ENSDNVG00000015757
phascolarctos_cinereus ENSPCIG00000018395
notamacropus_eugenii ENSMEUG00000007439
sarcophilus_harrisii ENSSHAG00000013828
monodelphis_domestica ENSMODG00000015959
oryctolagus_cuniculus ENSOCUG00000005431
echinops_telfairi ENSETEG00000001801
sus_scrofa ENSSSCG00000036466
vicugna_pacos ENSVPAG00000007498
bos_mutus ENSBMUG00000010151
bos_taurus ENSBTAG00000052083
bison_bison_bison ENSBBBG00000010854
ovis_aries ENSOARG00000018885
capra_hircus ENSCHIG00000003332
tursiops_truncatus ENSTTRG00000003258
sorex_araneus ENSSARG00000014268
erinaceus_europaeus ENSEEUG00000013525
myotis_lucifugus ENSMLUG00000015747
ursus_americanus ENSUAMG00000018805
equus_asinus_asinus ENSEASG00005002992
castor_canadensis ENSCCNG00000003171
dipodomys_ordii ENSDORG00000012543
mus_spicilegus ENSMSIG00000009970
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015015
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025956
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014208
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027446
rattus_norvegicus ENSRNOG00000014212
meriones_unguiculatus ENSMUGG00000022648
peromyscus_maniculatus_bairdii ENSPEMG00000027520
microtus_ochrogaster ENSMOCG00000017410
cricetulus_griseus_crigri-picr ENSCGRG00015028881
cricetulus_griseus_crigri_1.0 ENSCGRG00000013202
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017438
mesocricetus_auratus ENSMAUG00000020877
nannospalax_galili ENSNGAG00000013752
jaculus_jaculus ENSJJAG00000023618
jaculus_jaculus ENSJJAG00000012520
spermophilus_dauricus ENSSDAG00000020285
ictidomys_tridecemlineatus ENSSTOG00000016483
urocitellus_parryii ENSUPAG00010008009
marmota_marmota_marmota ENSMMMG00000015010
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010806
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005831
fukomys_damarensis ENSFDAG00000013266
octodon_degus ENSODEG00000009859
chinchilla_lanigera ENSCLAG00000005572
cavia_porcellus ENSCPOG00000034803
cavia_aperea ENSCAPG00000016627
tupaia_belangeri ENSTBEG00000014430
prolemur_simus ENSPSMG00000007593
microcebus_murinus ENSMICG00000009739
propithecus_coquereli ENSPCOG00000018442
otolemur_garnettii ENSOGAG00000007128
cercocebus_atys ENSCATG00000041598
theropithecus_gelada ENSTGEG00000004341
mandrillus_leucophaeus ENSMLEG00000028195
chlorocebus_sabaeus ENSCSAG00000010107
papio_anubis ENSPANG00000024440
macaca_mulatta ENSMMUG00000022602
macaca_nemestrina ENSMNEG00000034465
macaca_fascicularis ENSMFAG00000041805
colobus_angolensis_palliatus ENSCANG00000004593
piliocolobus_tephrosceles ENSPTEG00000034449
rhinopithecus_bieti ENSRBIG00000038997
rhinopithecus_roxellana ENSRROG00000043683
gorilla_gorilla ENSGGOG00000015815
homo_sapiens ENSG00000144401
pan_paniscus ENSPPAG00000041715
pan_troglodytes ENSPTRG00000012852
pongo_abelii ENSPPYG00000013116
nomascus_leucogenys ENSNLEG00000007129
saimiri_boliviensis_boliviensis ENSSBOG00000033378
saimiri_boliviensis_boliviensis ENSSBOG00000030422
cebus_capucinus_imitator ENSCCAG00000027925
aotus_nancymaae ENSANAG00000030805
callithrix_jacchus ENSCJAG00000006072
aotus_nancymaae ENSANAG00000020586
vulpes_vulpes ENSVVUG00000011888
canis_lupus_familiaris ENSCAFG00000029484
equus_caballus ENSECAG00000017536
ochotona_princeps ENSOPRG00000002417
dasypus_novemcinctus ENSDNOG00000044669
dasypus_novemcinctus ENSDNOG00000032912
choloepus_hoffmanni ENSCHOG00000005725
ailuropoda_melanoleuca ENSAMEG00000015168
ursus_maritimus ENSUMAG00000022649
mustela_putorius_furo ENSMPUG00000000487
mustela_putorius_furo ENSMPUG00000003138
neovison_vison ENSNVIG00000005027
canis_lupus_dingo ENSCAFG00020027418
panthera_pardus ENSPPRG00000006796
panthera_tigris_altaica ENSPTIG00000011823
felis_catus ENSFCAG00000035900
pteropus_vampyrus ENSPVAG00000011021
colobus_angolensis_palliatus ENSCANG00000007146
piliocolobus_tephrosceles ENSPTEG00000001073
procavia_capensis ENSPCAG00000008980
loxodonta_africana ENSLAFG00000017103
carlito_syrichta ENSTSYG00000034635
petromyzon_marinus ENSPMAG00000006200
xenopus_tropicalis ENSXETG00000016391
ciona_savignyi ENSCSAVG00000005298
