gambusia_affinis ENSGAFG00000005107
xiphophorus_maculatus ENSXMAG00000012006
kryptolebias_marmoratus ENSKMAG00000006135
amphiprion_ocellaris ENSAOCG00000018121
acanthochromis_polyacanthus ENSAPOG00000002909
stegastes_partitus ENSSPAG00000017491
neolamprologus_brichardi ENSNBRG00000008700
ictalurus_punctatus ENSIPUG00000025109
ictalurus_punctatus ENSIPUG00000000491
astyanax_mexicanus ENSAMXG00000015995
danio_rerio ENSDARG00000068478
paramormyrops_kingsleyae ENSPKIG00000011901
latimeria_chalumnae ENSLACG00000013431
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022210
petromyzon_marinus ENSPMAG00000000716
