sorex_araneus ENSSARG00000010004
myotis_lucifugus ENSMLUG00000012537
ursus_americanus ENSUAMG00000020155
ursus_maritimus ENSUMAG00000015593
ailuropoda_melanoleuca ENSAMEG00000006597
mustela_putorius_furo ENSMPUG00000004509
neovison_vison ENSNVIG00000016328
canis_lupus_familiaris ENSCAFG00000002283
canis_lupus_dingo ENSCAFG00020009143
vulpes_vulpes ENSVVUG00000005526
felis_catus ENSFCAG00000015134
panthera_pardus ENSPPRG00000008237
pteropus_vampyrus ENSPVAG00000016773
equus_caballus ENSECAG00000015742
equus_asinus_asinus ENSEASG00005013708
capra_hircus ENSCHIG00000009338
ovis_aries ENSOARG00000008161
bos_mutus ENSBMUG00000009200
bos_taurus ENSBTAG00000006939
bison_bison_bison ENSBBBG00000011727
tursiops_truncatus ENSTTRG00000000313
vicugna_pacos ENSVPAG00000000101
sus_scrofa ENSSSCG00000028185
erinaceus_europaeus ENSEEUG00000010331
chinchilla_lanigera ENSCLAG00000002785
octodon_degus ENSODEG00000009686
cavia_porcellus ENSCPOG00000035143
cavia_aperea ENSCAPG00000002294
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017946
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010165
fukomys_damarensis ENSFDAG00000016281
urocitellus_parryii ENSUPAG00010007277
ictidomys_tridecemlineatus ENSSTOG00000010157
spermophilus_dauricus ENSSDAG00000018701
marmota_marmota_marmota ENSMMMG00000006033
mus_spicilegus ENSMSIG00000028505
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019381
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037946
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018501
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019567
rattus_norvegicus ENSRNOG00000016225
meriones_unguiculatus ENSMUGG00000024675
cricetulus_griseus_crigri_1.0 ENSCGRG00000017351
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016233
cricetulus_griseus_crigri-picr ENSCGRG00015000999
mesocricetus_auratus ENSMAUG00000008383
microtus_ochrogaster ENSMOCG00000010692
peromyscus_maniculatus_bairdii ENSPEMG00000001715
meriones_unguiculatus ENSMUGG00000015256
nannospalax_galili ENSNGAG00000017520
jaculus_jaculus ENSJJAG00000014922
dipodomys_ordii ENSDORG00000000585
castor_canadensis ENSCCNG00000009485
oryctolagus_cuniculus ENSOCUG00000015829
ochotona_princeps ENSOPRG00000005306
tupaia_belangeri ENSTBEG00000016852
pan_troglodytes ENSPTRG00000021120
pan_paniscus ENSPPAG00000029151
homo_sapiens ENSG00000127084
gorilla_gorilla ENSGGOG00000008907
pongo_abelii ENSPPYG00000019384
nomascus_leucogenys ENSNLEG00000016521
theropithecus_gelada ENSTGEG00000002841
papio_anubis ENSPANG00000024695
mandrillus_leucophaeus ENSMLEG00000036756
cercocebus_atys ENSCATG00000044345
macaca_fascicularis ENSMFAG00000002491
macaca_nemestrina ENSMNEG00000035382
macaca_mulatta ENSMMUG00000020795
chlorocebus_sabaeus ENSCSAG00000007165
rhinopithecus_bieti ENSRBIG00000029917
rhinopithecus_roxellana ENSRROG00000001993
piliocolobus_tephrosceles ENSPTEG00000038296
colobus_angolensis_palliatus ENSCANG00000020182
cebus_capucinus_imitator ENSCCAG00000026220
callithrix_jacchus ENSCJAG00000020520
aotus_nancymaae ENSANAG00000034666
saimiri_boliviensis_boliviensis ENSSBOG00000030603
carlito_syrichta ENSTSYG00000006926
propithecus_coquereli ENSPCOG00000016359
microcebus_murinus ENSMICG00000012321
prolemur_simus ENSPSMG00000009559
otolemur_garnettii ENSOGAG00000007894
loxodonta_africana ENSLAFG00000018041
procavia_capensis ENSPCAG00000004773
dasypus_novemcinctus ENSDNOG00000044252
ornithorhynchus_anatinus ENSOANG00000031872
sarcophilus_harrisii ENSSHAG00000017055
notamacropus_eugenii ENSMEUG00000005553
ornithorhynchus_anatinus ENSOANG00000020240
gallus_gallus ENSGALG00000005237
coturnix_japonica ENSCJPG00005012899
meleagris_gallopavo ENSMGAG00000005647
numida_meleagris ENSNMEG00000014488
anser_brachyrhynchus ENSABRG00000005910
anas_platyrhynchos_platyrhynchos ENSAPLG00000015568
lonchura_striata_domestica ENSLSDG00000005980
taeniopygia_guttata ENSTGUG00000003575
serinus_canaria ENSSCAG00000010443
ficedula_albicollis ENSFALG00000007046
parus_major ENSPMJG00000004167
cyanistes_caeruleus ENSCCEG00000002536
lepidothrix_coronata ENSLCOG00000000173
manacus_vitellinus ENSMVIG00005019414
melopsittacus_undulatus ENSMUNG00000011675
calidris_pygmaea ENSCPGG00000001408
calidris_pugnax ENSCPUG00000003760
dromaius_novaehollandiae ENSDNVG00000014364
nothoprocta_perdicaria ENSNPEG00000008349
apteryx_haastii ENSAHAG00000014806
apteryx_owenii ENSAOWG00000014623
apteryx_rowi ENSARWG00000005886
crocodylus_porosus ENSCPRG00005019110
gopherus_agassizii ENSGAGG00000012399
chelonoidis_abingdonii ENSCABG00000017228
chrysemys_picta_bellii ENSCPBG00000022412
pelodiscus_sinensis ENSPSIG00000003233
pogona_vitticeps ENSPVIG00000001537
anolis_carolinensis ENSACAG00000001307
notechis_scutatus ENSNSUG00000020171
salvator_merianae ENSSMRG00000019615
sphenodon_punctatus ENSSPUG00000001711
latimeria_chalumnae ENSLACG00000015469
xenopus_tropicalis ENSXETG00000034175
scleropages_formosus ENSSFOG00015016685
paramormyrops_kingsleyae ENSPKIG00000012623
kryptolebias_marmoratus ENSKMAG00000014587
fundulus_heteroclitus ENSFHEG00000001260
gasterosteus_aculeatus ENSGACG00000000079
labrus_bergylta ENSLBEG00000006231
mola_mola ENSMMOG00000017145
monopterus_albus ENSMALG00000021651
mastacembelus_armatus ENSMAMG00000024096
anabas_testudineus ENSATEG00000014910
seriola_lalandi_dorsalis ENSSLDG00000010948
seriola_dumerili ENSSDUG00000000908
scophthalmus_maximus ENSSMAG00000013383
poecilia_formosa ENSPFOG00000014867
poecilia_mexicana ENSPMEG00000023319
poecilia_latipinna ENSPLAG00000020368
gambusia_affinis ENSGAFG00000015875
xiphophorus_maculatus ENSXMAG00000017525
xiphophorus_couchianus ENSXCOG00000011166
poecilia_reticulata ENSPREG00000009601
cyprinodon_variegatus ENSCVAG00000013300
oryzias_melastigma ENSOMEG00000008487
oreochromis_niloticus ENSONIG00000017195
neolamprologus_brichardi ENSNBRG00000021738
amphilophus_citrinellus ENSACIG00000004039
amphiprion_ocellaris ENSAOCG00000007560
amphiprion_percula ENSAPEG00000015625
acanthochromis_polyacanthus ENSAPOG00000012862
stegastes_partitus ENSSPAG00000021166
takifugu_rubripes ENSTRUG00000009033
tetraodon_nigroviridis ENSTNIG00000017932
cynoglossus_semilaevis ENSCSEG00000021047
periophthalmus_magnuspinnatus ENSPMGG00000005665
gadus_morhua ENSGMOG00000017340
esox_lucius ENSELUG00000018160
pygocentrus_nattereri ENSPNAG00000018886
astyanax_mexicanus ENSAMXG00000015438
ictalurus_punctatus ENSIPUG00000023591
danio_rerio ENSDARG00000099650
lepisosteus_oculatus ENSLOCG00000014094
eptatretus_burgeri ENSEBUG00000002242
