lepisosteus_oculatus ENSLOCG00000007927
ictalurus_punctatus ENSIPUG00000004691
numida_meleagris ENSNMEG00000016738
coturnix_japonica ENSCJPG00005000757
anser_brachyrhynchus ENSABRG00000022814
serinus_canaria ENSSCAG00000005161
junco_hyemalis ENSJHYG00000015490
cyanistes_caeruleus ENSCCEG00000015106
manacus_vitellinus ENSMVIG00005009257
calidris_pugnax ENSCPUG00000011433
calidris_pygmaea ENSCPGG00000007783
apteryx_owenii ENSAOWG00000016297
apteryx_haastii ENSAHAG00000007634
apteryx_rowi ENSARWG00000012493
dromaius_novaehollandiae ENSDNVG00000000407
crocodylus_porosus ENSCPRG00005002578
sphenodon_punctatus ENSSPUG00000004170
nothoprocta_perdicaria ENSNPEG00000001542
anolis_carolinensis ENSACAG00000007177
notechis_scutatus ENSNSUG00000017988
tursiops_truncatus ENSTTRG00000013543
bison_bison_bison ENSBBBG00000009329
sus_scrofa ENSSSCG00000034192
vulpes_vulpes ENSVVUG00000021756
vulpes_vulpes ENSVVUG00000021753
equus_caballus ENSECAG00000013133
equus_asinus_asinus ENSEASG00005004863
myotis_lucifugus ENSMLUG00000012041
ursus_americanus ENSUAMG00000008372
ursus_maritimus ENSUMAG00000001550
neovison_vison ENSNVIG00000016652
canis_lupus_dingo ENSCAFG00020004420
panthera_pardus ENSPPRG00000023992
felis_catus ENSFCAG00000039278
pteropus_vampyrus ENSPVAG00000014577
pan_troglodytes ENSPTRG00000008129
pan_paniscus ENSPPAG00000041676
homo_sapiens ENSG00000087258
gorilla_gorilla ENSGGOG00000002398
macaca_fascicularis ENSMFAG00000032734
macaca_nemestrina ENSMNEG00000045061
cercocebus_atys ENSCATG00000044323
mandrillus_leucophaeus ENSMLEG00000038598
colobus_angolensis_palliatus ENSCANG00000033205
cebus_capucinus_imitator ENSCCAG00000028180
saimiri_boliviensis_boliviensis ENSSBOG00000029444
carlito_syrichta ENSTSYG00000014691
microcebus_murinus ENSMICG00000003840
prolemur_simus ENSPSMG00000015697
otolemur_garnettii ENSOGAG00000027139
castor_canadensis ENSCCNG00000007971
castor_canadensis ENSCCNG00000027784
dipodomys_ordii ENSDORG00000024668
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031748
mus_spicilegus ENSMSIG00000002005
meriones_unguiculatus ENSMUGG00000019464
cricetulus_griseus_crigri-picr ENSCGRG00015027971
cricetulus_griseus_crigri_1.0 ENSCGRG00000016430
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002875
mesocricetus_auratus ENSMAUG00000000422
nannospalax_galili ENSNGAG00000021218
mus_spicilegus ENSMSIG00000008437
fukomys_damarensis ENSFDAG00000012763
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006887
cavia_porcellus ENSCPOG00000015392
urocitellus_parryii ENSUPAG00010013335
marmota_marmota_marmota ENSMMMG00000011278
rhinopithecus_bieti ENSRBIG00000036300
tupaia_belangeri ENSTBEG00000006744
procavia_capensis ENSPCAG00000013621
ornithorhynchus_anatinus ENSOANG00000004187
latimeria_chalumnae ENSLACG00000012880
petromyzon_marinus ENSPMAG00000004556
fundulus_heteroclitus ENSFHEG00000011542
cyprinodon_variegatus ENSCVAG00000005625
poecilia_mexicana ENSPMEG00000006640
poecilia_mexicana ENSPMEG00000006667
poecilia_formosa ENSPFOG00000001333
poecilia_latipinna ENSPLAG00000016478
poecilia_reticulata ENSPREG00000001394
xiphophorus_couchianus ENSXCOG00000011511
xiphophorus_couchianus ENSXCOG00000011514
xiphophorus_maculatus ENSXMAG00000014106
gambusia_affinis ENSGAFG00000017478
kryptolebias_marmoratus ENSKMAG00000008786
oryzias_latipes_asm223471v1 ENSORLG00020007466
oryzias_latipes_asm223471v1 ENSORLG00020007481
oryzias_latipes_asm223469v1 ENSORLG00015005191
oryzias_latipes_asm223467v1 ENSORLG00000008848
oryzias_melastigma ENSOMEG00000002395
astatotilapia_calliptera ENSACLG00000004434
maylandia_zebra ENSMZEG00005013095
pundamilia_nyererei ENSPNYG00000014836
haplochromis_burtoni ENSHBUG00000015127
neolamprologus_brichardi ENSNBRG00000009253
oreochromis_niloticus ENSONIG00000005725
amphilophus_citrinellus ENSACIG00000002935
cynoglossus_semilaevis ENSCSEG00000001539
monopterus_albus ENSMALG00000000702
anabas_testudineus ENSATEG00000002226
seriola_lalandi_dorsalis ENSSLDG00000018383
seriola_dumerili ENSSDUG00000019056
scophthalmus_maximus ENSSMAG00000000671
gasterosteus_aculeatus ENSGACG00000015873
mola_mola ENSMMOG00000016223
labrus_bergylta ENSLBEG00000024351
mastacembelus_armatus ENSMAMG00000020918
amphiprion_ocellaris ENSAOCG00000014070
amphiprion_percula ENSAPEG00000013306
acanthochromis_polyacanthus ENSAPOG00000012328
stegastes_partitus ENSSPAG00000010124
periophthalmus_magnuspinnatus ENSPMGG00000002615
takifugu_rubripes ENSTRUG00000017975
tetraodon_nigroviridis ENSTNIG00000009309
hippocampus_comes ENSHCOG00000004392
gadus_morhua ENSGMOG00000002957
esox_lucius ENSELUG00000012020
astyanax_mexicanus ENSAMXG00000033113
astyanax_mexicanus ENSAMXG00000043193
ictalurus_punctatus ENSIPUG00000005046
ictalurus_punctatus ENSIPUG00000005062
