fundulus_heteroclitus ENSFHEG00000013664
cyprinodon_variegatus ENSCVAG00000022015
xiphophorus_maculatus ENSXMAG00000007118
xiphophorus_couchianus ENSXCOG00000014776
gambusia_affinis ENSGAFG00000010339
poecilia_formosa ENSPFOG00000015315
poecilia_mexicana ENSPMEG00000006757
poecilia_latipinna ENSPLAG00000004126
poecilia_reticulata ENSPREG00000020656
kryptolebias_marmoratus ENSKMAG00000017511
oryzias_latipes_asm223467v1 ENSORLG00000014456
oryzias_latipes_asm223471v1 ENSORLG00020005964
oryzias_latipes_asm223469v1 ENSORLG00015007892
oryzias_melastigma ENSOMEG00000020290
cynoglossus_semilaevis ENSCSEG00000016958
cynoglossus_semilaevis ENSCSEG00000006622
hippocampus_comes ENSHCOG00000017019
takifugu_rubripes ENSTRUG00000007002
tetraodon_nigroviridis ENSTNIG00000001103
labrus_bergylta ENSLBEG00000006367
gasterosteus_aculeatus ENSGACG00000002393
amphiprion_ocellaris ENSAOCG00000007712
amphiprion_percula ENSAPEG00000005066
acanthochromis_polyacanthus ENSAPOG00000016364
stegastes_partitus ENSSPAG00000007889
seriola_lalandi_dorsalis ENSSLDG00000020075
seriola_dumerili ENSSDUG00000008428
scophthalmus_maximus ENSSMAG00000003038
mastacembelus_armatus ENSMAMG00000011562
monopterus_albus ENSMALG00000013993
anabas_testudineus ENSATEG00000009708
mola_mola ENSMMOG00000005194
haplochromis_burtoni ENSHBUG00000021870
pundamilia_nyererei ENSPNYG00000013117
astatotilapia_calliptera ENSACLG00000003515
maylandia_zebra ENSMZEG00005014796
oreochromis_niloticus ENSONIG00000004625
neolamprologus_brichardi ENSNBRG00000017041
amphilophus_citrinellus ENSACIG00000002666
periophthalmus_magnuspinnatus ENSPMGG00000014223
gadus_morhua ENSGMOG00000019130
esox_lucius ENSELUG00000017717
astyanax_mexicanus ENSAMXG00000015362
paramormyrops_kingsleyae ENSPKIG00000023605
xiphophorus_maculatus ENSXMAG00000024080
stegastes_partitus ENSSPAG00000020367
labrus_bergylta ENSLBEG00000015406
ictalurus_punctatus ENSIPUG00000021881
notechis_scutatus ENSNSUG00000001322
chrysemys_picta_bellii ENSCPBG00000027317
ornithorhynchus_anatinus ENSOANG00000002930
ornithorhynchus_anatinus ENSOANG00000022266
ornithorhynchus_anatinus ENSOANG00000002931
ornithorhynchus_anatinus ENSOANG00000002928
ornithorhynchus_anatinus ENSOANG00000007297
petromyzon_marinus ENSPMAG00000004579
