ictalurus_punctatus ENSIPUG00000004031
danio_rerio ENSDARG00000076532
seriola_dumerili ENSSDUG00000015112
seriola_lalandi_dorsalis ENSSLDG00000004149
myotis_lucifugus ENSMLUG00000002628
myotis_lucifugus ENSMLUG00000008469
myotis_lucifugus ENSMLUG00000002325
cercocebus_atys ENSCATG00000039470
callithrix_jacchus ENSCJAG00000046102
ictidomys_tridecemlineatus ENSSTOG00000031135
choloepus_hoffmanni ENSCHOG00000011094
spermophilus_dauricus ENSSDAG00000000162
dipodomys_ordii ENSDORG00000024391
pan_troglodytes ENSPTRG00000047527
nomascus_leucogenys ENSNLEG00000027700
colobus_angolensis_palliatus ENSCANG00000028395
microcebus_murinus ENSMICG00000042142
chinchilla_lanigera ENSCLAG00000010655
ovis_aries ENSOARG00000020723
dasypus_novemcinctus ENSDNOG00000013104
canis_lupus_familiaris ENSCAFG00000023760
canis_lupus_dingo ENSCAFG00020017005
marmota_marmota_marmota ENSMMMG00000012991
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014365
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021195
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020821
fukomys_damarensis ENSFDAG00000008395
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003755
cricetulus_griseus_crigri_1.0 ENSCGRG00000019784
cricetulus_griseus_crigri_1.0 ENSCGRG00000006255
microtus_ochrogaster ENSMOCG00000014702
cricetulus_griseus_crigri-picr ENSCGRG00015010107
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023349
mesocricetus_auratus ENSMAUG00000006107
microtus_ochrogaster ENSMOCG00000008697
rattus_norvegicus ENSRNOG00000018584
rattus_norvegicus ENSRNOG00000025731
rattus_norvegicus ENSRNOG00000039439
mus_spicilegus ENSMSIG00000003328
mus_spicilegus ENSMSIG00000017220
meriones_unguiculatus ENSMUGG00000002610
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003128
microtus_ochrogaster ENSMOCG00000015003
mus_spicilegus ENSMSIG00000009249
mus_spicilegus ENSMSIG00000006316
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026238
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032481
rattus_norvegicus ENSRNOG00000004661
nannospalax_galili ENSNGAG00000023255
dipodomys_ordii ENSDORG00000030061
octodon_degus ENSODEG00000018552
macaca_fascicularis ENSMFAG00000037234
macaca_mulatta ENSMMUG00000010354
macaca_nemestrina ENSMNEG00000005216
papio_anubis ENSPANG00000032055
rhinopithecus_bieti ENSRBIG00000022099
pan_paniscus ENSPPAG00000010217
pan_troglodytes ENSPTRG00000046906
homo_sapiens ENSG00000187514
piliocolobus_tephrosceles ENSPTEG00000029949
piliocolobus_tephrosceles ENSPTEG00000008292
theropithecus_gelada ENSTGEG00000012652
pan_paniscus ENSPPAG00000030044
macaca_fascicularis ENSMFAG00000023387
mandrillus_leucophaeus ENSMLEG00000026664
saimiri_boliviensis_boliviensis ENSSBOG00000033574
callithrix_jacchus ENSCJAG00000041035
mandrillus_leucophaeus ENSMLEG00000017871
cercocebus_atys ENSCATG00000035724
chlorocebus_sabaeus ENSCSAG00000000602
macaca_mulatta ENSMMUG00000010727
macaca_fascicularis ENSMFAG00000021756
aotus_nancymaae ENSANAG00000019983
aotus_nancymaae ENSANAG00000024779
callithrix_jacchus ENSCJAG00000046496
pongo_abelii ENSPPYG00000003820
pongo_abelii ENSPPYG00000013142
callithrix_jacchus ENSCJAG00000040146
pan_troglodytes ENSPTRG00000046748
pan_paniscus ENSPPAG00000025405
gorilla_gorilla ENSGGOG00000028434
macaca_fascicularis ENSMFAG00000009327
macaca_fascicularis ENSMFAG00000017373
macaca_mulatta ENSMMUG00000046228
saimiri_boliviensis_boliviensis ENSSBOG00000019734
nomascus_leucogenys ENSNLEG00000035587
callithrix_jacchus ENSCJAG00000045124
macaca_nemestrina ENSMNEG00000039258
pan_troglodytes ENSPTRG00000043858
carlito_syrichta ENSTSYG00000013312
bos_taurus ENSBTAG00000002549
bison_bison_bison ENSBBBG00000025404
sus_scrofa ENSSSCG00000037274
jaculus_jaculus ENSJJAG00000016952
jaculus_jaculus ENSJJAG00000014606
spermophilus_dauricus ENSSDAG00000016709
spermophilus_dauricus ENSSDAG00000003646
spermophilus_dauricus ENSSDAG00000004948
spermophilus_dauricus ENSSDAG00000012157
spermophilus_dauricus ENSSDAG00000005201
urocitellus_parryii ENSUPAG00010005034
octodon_degus ENSODEG00000007492
octodon_degus ENSODEG00000012676
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001587
ictidomys_tridecemlineatus ENSSTOG00000034295
octodon_degus ENSODEG00000005250
oryctolagus_cuniculus ENSOCUG00000023038
oryctolagus_cuniculus ENSOCUG00000023372
spermophilus_dauricus ENSSDAG00000001166
canis_lupus_dingo ENSCAFG00020004418
canis_lupus_familiaris ENSCAFG00000032596
spermophilus_dauricus ENSSDAG00000009159
marmota_marmota_marmota ENSMMMG00000003059
dasypus_novemcinctus ENSDNOG00000018024
carlito_syrichta ENSTSYG00000035788
callithrix_jacchus ENSCJAG00000013611
propithecus_coquereli ENSPCOG00000014945
felis_catus ENSFCAG00000038598
spermophilus_dauricus ENSSDAG00000023722
marmota_marmota_marmota ENSMMMG00000004604
canis_lupus_familiaris ENSCAFG00000024837
vulpes_vulpes ENSVVUG00000030169
equus_asinus_asinus ENSEASG00005005740
myotis_lucifugus ENSMLUG00000001463
equus_caballus ENSECAG00000038550
ictidomys_tridecemlineatus ENSSTOG00000012609
mesocricetus_auratus ENSMAUG00000006179
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001380
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000660
octodon_degus ENSODEG00000017909
ochotona_princeps ENSOPRG00000006157
marmota_marmota_marmota ENSMMMG00000010721
marmota_marmota_marmota ENSMMMG00000022313
ictidomys_tridecemlineatus ENSSTOG00000030112
urocitellus_parryii ENSUPAG00010007274
tupaia_belangeri ENSTBEG00000007436
equus_caballus ENSECAG00000006493
equus_asinus_asinus ENSEASG00005021382
oryctolagus_cuniculus ENSOCUG00000005894
phascolarctos_cinereus ENSPCIG00000013425
sphenodon_punctatus ENSSPUG00000011943
anolis_carolinensis ENSACAG00000012136
apteryx_owenii ENSAOWG00000017983
apteryx_rowi ENSARWG00000006150
numida_meleagris ENSNMEG00000002810
junco_hyemalis ENSJHYG00000011839
ornithorhynchus_anatinus ENSOANG00000022221
