astatotilapia_calliptera ENSACLG00000009917
pundamilia_nyererei ENSPNYG00000006203
maylandia_zebra ENSMZEG00005019160
neolamprologus_brichardi ENSNBRG00000022467
oreochromis_niloticus ENSONIG00000003974
amphiprion_ocellaris ENSAOCG00000007259
amphiprion_percula ENSAPEG00000011873
acanthochromis_polyacanthus ENSAPOG00000017136
stegastes_partitus ENSSPAG00000008545
xiphophorus_maculatus ENSXMAG00000017388
gambusia_affinis ENSGAFG00000013191
poecilia_formosa ENSPFOG00000010275
cyprinodon_variegatus ENSCVAG00000002230
fundulus_heteroclitus ENSFHEG00000016421
fundulus_heteroclitus ENSFHEG00000016401
kryptolebias_marmoratus ENSKMAG00000000338
oryzias_latipes_asm223467v1 ENSORLG00000001360
oryzias_latipes_asm223471v1 ENSORLG00020011230
oryzias_latipes_asm223469v1 ENSORLG00015018472
labrus_bergylta ENSLBEG00000006695
