drosophila_melanogaster FBgn0014868
caenorhabditis_elegans_strain_n2 WBGene00011638
petromyzon_marinus ENSPMAG00000006656
eptatretus_burgeri ENSEBUG00000013588
anser_brachyrhynchus ENSABRG00000010293
anas_platyrhynchos_platyrhynchos ENSAPLG00000006961
gallus_gallus ENSGALG00000010073
meleagris_gallopavo ENSMGAG00000007523
coturnix_japonica ENSCJPG00005011308
numida_meleagris ENSNMEG00000018082
calidris_pugnax ENSCPUG00000016212
calidris_pygmaea ENSCPGG00000000050
melopsittacus_undulatus ENSMUNG00000011807
taeniopygia_guttata ENSTGUG00000002085
taeniopygia_guttata ENSTGUG00000016251
lonchura_striata_domestica ENSLSDG00000016752
serinus_canaria ENSSCAG00000004586
ficedula_albicollis ENSFALG00000003617
cyanistes_caeruleus ENSCCEG00000013092
parus_major ENSPMJG00000009391
junco_hyemalis ENSJHYG00000013056
zonotrichia_albicollis ENSZALG00000017475
lepidothrix_coronata ENSLCOG00000004827
manacus_vitellinus ENSMVIG00005005007
apteryx_haastii ENSAHAG00000015959
apteryx_rowi ENSARWG00000000992
apteryx_owenii ENSAOWG00000011936
dromaius_novaehollandiae ENSDNVG00000018432
nothoprocta_perdicaria ENSNPEG00000004324
crocodylus_porosus ENSCPRG00005017115
chelonoidis_abingdonii ENSCABG00000014617
gopherus_agassizii ENSGAGG00000021139
chrysemys_picta_bellii ENSCPBG00000010418
pelodiscus_sinensis ENSPSIG00000011114
sphenodon_punctatus ENSSPUG00000001537
pogona_vitticeps ENSPVIG00000017058
anolis_carolinensis ENSACAG00000017734
notechis_scutatus ENSNSUG00000018886
salvator_merianae ENSSMRG00000003530
bos_mutus ENSBMUG00000022270
bos_taurus ENSBTAG00000006085
bison_bison_bison ENSBBBG00000015981
ovis_aries ENSOARG00000009017
capra_hircus ENSCHIG00000015354
sus_scrofa ENSSSCG00000003505
tursiops_truncatus ENSTTRG00000011282
sorex_araneus ENSSARG00000010260
ursus_americanus ENSUAMG00000011703
ursus_maritimus ENSUMAG00000018755
ailuropoda_melanoleuca ENSAMEG00000002972
neovison_vison ENSNVIG00000015526
mustela_putorius_furo ENSMPUG00000016099
canis_lupus_dingo ENSCAFG00020008554
canis_lupus_familiaris ENSCAFG00000015041
vulpes_vulpes ENSVVUG00000029501
panthera_pardus ENSPPRG00000013598
panthera_tigris_altaica ENSPTIG00000000110
felis_catus ENSFCAG00000000798
pteropus_vampyrus ENSPVAG00000013862
equus_asinus_asinus ENSEASG00005014397
equus_caballus ENSECAG00000019546
pan_paniscus ENSPPAG00000038676
pan_troglodytes ENSPTRG00000033766
homo_sapiens ENSG00000244038
gorilla_gorilla ENSGGOG00000014576
pongo_abelii ENSPPYG00000001768
nomascus_leucogenys ENSNLEG00000007923
macaca_nemestrina ENSMNEG00000040019
macaca_fascicularis ENSMFAG00000046185
macaca_mulatta ENSMMUG00000008836
papio_anubis ENSPANG00000023662
theropithecus_gelada ENSTGEG00000000413
mandrillus_leucophaeus ENSMLEG00000038625
mandrillus_leucophaeus ENSMLEG00000022037
cercocebus_atys ENSCATG00000035128
chlorocebus_sabaeus ENSCSAG00000000897
piliocolobus_tephrosceles ENSPTEG00000005556
colobus_angolensis_palliatus ENSCANG00000005167
rhinopithecus_roxellana ENSRROG00000034929
rhinopithecus_bieti ENSRBIG00000043702
cebus_capucinus_imitator ENSCCAG00000034304
saimiri_boliviensis_boliviensis ENSSBOG00000026043
carlito_syrichta ENSTSYG00000008547
prolemur_simus ENSPSMG00000003304
microcebus_murinus ENSMICG00000010587
propithecus_coquereli ENSPCOG00000010381
otolemur_garnettii ENSOGAG00000013135
choloepus_hoffmanni ENSCHOG00000007789
dasypus_novemcinctus ENSDNOG00000003401
loxodonta_africana ENSLAFG00000013567
procavia_capensis ENSPCAG00000014473
castor_canadensis ENSCCNG00000029658
dipodomys_ordii ENSDORG00000006964
cricetulus_griseus_crigri_1.0 ENSCGRG00000009869
cricetulus_griseus_crigri-picr ENSCGRG00015024274
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024999
mesocricetus_auratus ENSMAUG00000018560
microtus_ochrogaster ENSMOCG00000006574
peromyscus_maniculatus_bairdii ENSPEMG00000007098
mus_spicilegus ENSMSIG00000013715
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027668
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028757
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026688
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029019
rattus_norvegicus ENSRNOG00000015079
meriones_unguiculatus ENSMUGG00000024240
nannospalax_galili ENSNGAG00000012317
jaculus_jaculus ENSJJAG00000014320
chinchilla_lanigera ENSCLAG00000012871
octodon_degus ENSODEG00000015039
cavia_porcellus ENSCPOG00000002786
cavia_aperea ENSCAPG00000007568
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019226
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005804
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020797
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019709
fukomys_damarensis ENSFDAG00000007507
ictidomys_tridecemlineatus ENSSTOG00000015681
urocitellus_parryii ENSUPAG00010016185
marmota_marmota_marmota ENSMMMG00000019690
spermophilus_dauricus ENSSDAG00000011284
myotis_lucifugus ENSMLUG00000011399
tupaia_belangeri ENSTBEG00000006698
oryctolagus_cuniculus ENSOCUG00000021391
ochotona_princeps ENSOPRG00000010877
erinaceus_europaeus ENSEEUG00000008512
echinops_telfairi ENSETEG00000016153
phascolarctos_cinereus ENSPCIG00000010014
notamacropus_eugenii ENSMEUG00000015488
monodelphis_domestica ENSMODG00000015962
sarcophilus_harrisii ENSSHAG00000008129
ornithorhynchus_anatinus ENSOANG00000010401
xenopus_tropicalis ENSXETG00000019826
latimeria_chalumnae ENSLACG00000005379
paramormyrops_kingsleyae ENSPKIG00000002739
scleropages_formosus ENSSFOG00015010160
oryzias_latipes_asm223467v1 ENSORLG00000019313
oryzias_latipes_asm223469v1 ENSORLG00015021418
oryzias_latipes_asm223471v1 ENSORLG00020007238
oryzias_melastigma ENSOMEG00000002281
hippocampus_comes ENSHCOG00000000874
seriola_lalandi_dorsalis ENSSLDG00000013205
seriola_dumerili ENSSDUG00000003249
scophthalmus_maximus ENSSMAG00000008787
labrus_bergylta ENSLBEG00000018805
anabas_testudineus ENSATEG00000005355
tetraodon_nigroviridis ENSTNIG00000010901
takifugu_rubripes ENSTRUG00000003692
mola_mola ENSMMOG00000017092
gasterosteus_aculeatus ENSGACG00000005260
cynoglossus_semilaevis ENSCSEG00000003977
monopterus_albus ENSMALG00000008463
mastacembelus_armatus ENSMAMG00000014379
cyprinodon_variegatus ENSCVAG00000007282
fundulus_heteroclitus ENSFHEG00000012973
poecilia_formosa ENSPFOG00000015244
poecilia_latipinna ENSPLAG00000006773
poecilia_mexicana ENSPMEG00000011066
poecilia_reticulata ENSPREG00000010226
xiphophorus_maculatus ENSXMAG00000012411
xiphophorus_couchianus ENSXCOG00000002256
gambusia_affinis ENSGAFG00000015893
kryptolebias_marmoratus ENSKMAG00000004129
astatotilapia_calliptera ENSACLG00000016325
maylandia_zebra ENSMZEG00005021534
haplochromis_burtoni ENSHBUG00000020449
pundamilia_nyererei ENSPNYG00000012623
neolamprologus_brichardi ENSNBRG00000021934
oreochromis_niloticus ENSONIG00000006547
amphilophus_citrinellus ENSACIG00000013904
amphiprion_percula ENSAPEG00000010028
amphiprion_ocellaris ENSAOCG00000000972
acanthochromis_polyacanthus ENSAPOG00000010035
stegastes_partitus ENSSPAG00000006236
periophthalmus_magnuspinnatus ENSPMGG00000006253
gadus_morhua ENSGMOG00000008385
esox_lucius ENSELUG00000016135
astyanax_mexicanus ENSAMXG00000012575
pygocentrus_nattereri ENSPNAG00000020528
ictalurus_punctatus ENSIPUG00000021523
danio_rerio ENSDARG00000037318
lepisosteus_oculatus ENSLOCG00000008002
ciona_intestinalis ENSCING00000005044
ciona_savignyi ENSCSAVG00000003662
piliocolobus_tephrosceles ENSPTEG00000000598
piliocolobus_tephrosceles ENSPTEG00000014592
saccharomyces_cerevisiae_strain_s288c YEL002C
