rhinopithecus_roxellana ENSRROG00000040326
rhinopithecus_bieti ENSRBIG00000027891
colobus_angolensis_palliatus ENSCANG00000036637
piliocolobus_tephrosceles ENSPTEG00000006719
macaca_fascicularis ENSMFAG00000019616
macaca_mulatta ENSMMUG00000046857
macaca_nemestrina ENSMNEG00000029995
papio_anubis ENSPANG00000034833
cercocebus_atys ENSCATG00000032943
mandrillus_leucophaeus ENSMLEG00000042118
cebus_capucinus_imitator ENSCCAG00000029019
saimiri_boliviensis_boliviensis ENSSBOG00000030287
aotus_nancymaae ENSANAG00000021240
spermophilus_dauricus ENSSDAG00000019926
