dromaius_novaehollandiae ENSDNVG00000014428
nothoprocta_perdicaria ENSNPEG00000000776
lepidothrix_coronata ENSLCOG00000005643
manacus_vitellinus ENSMVIG00005013790
anser_brachyrhynchus ENSABRG00000020729
anas_platyrhynchos_platyrhynchos ENSAPLG00000024426
calidris_pugnax ENSCPUG00000005869
calidris_pygmaea ENSCPGG00000005457
chrysemys_picta_bellii ENSCPBG00000012870
chelonoidis_abingdonii ENSCABG00000001798
gopherus_agassizii ENSGAGG00000003307
pogona_vitticeps ENSPVIG00000015140
salvator_merianae ENSSMRG00000008131
