periophthalmus_magnuspinnatus ENSPMGG00000010362
amphilophus_citrinellus ENSACIG00000020830
latimeria_chalumnae ENSLACG00000015170
eptatretus_burgeri ENSEBUG00000016740
gopherus_agassizii ENSGAGG00000003713
chelonoidis_abingdonii ENSCABG00000018595
chrysemys_picta_bellii ENSCPBG00000011507
phascolarctos_cinereus ENSPCIG00000019552
notamacropus_eugenii ENSMEUG00000002853
sarcophilus_harrisii ENSSHAG00000001258
macaca_nemestrina ENSMNEG00000041289
macaca_mulatta ENSMMUG00000023418
macaca_fascicularis ENSMFAG00000000532
cercocebus_atys ENSCATG00000033304
mandrillus_leucophaeus ENSMLEG00000026582
papio_anubis ENSPANG00000012797
theropithecus_gelada ENSTGEG00000001697
chlorocebus_sabaeus ENSCSAG00000002181
piliocolobus_tephrosceles ENSPTEG00000019879
colobus_angolensis_palliatus ENSCANG00000034669
rhinopithecus_bieti ENSRBIG00000035305
rhinopithecus_roxellana ENSRROG00000040249
gorilla_gorilla ENSGGOG00000005607
homo_sapiens ENSG00000131408
pan_paniscus ENSPPAG00000027275
pan_troglodytes ENSPTRG00000011337
pongo_abelii ENSPPYG00000010280
nomascus_leucogenys ENSNLEG00000005616
saimiri_boliviensis_boliviensis ENSSBOG00000036096
callithrix_jacchus ENSCJAG00000004439
cebus_capucinus_imitator ENSCCAG00000020558
aotus_nancymaae ENSANAG00000034793
carlito_syrichta ENSTSYG00000030810
prolemur_simus ENSPSMG00000017975
propithecus_coquereli ENSPCOG00000026857
microcebus_murinus ENSMICG00000002174
otolemur_garnettii ENSOGAG00000012593
tupaia_belangeri ENSTBEG00000006715
castor_canadensis ENSCCNG00000029657
dipodomys_ordii ENSDORG00000001148
mus_spicilegus ENSMSIG00000009948
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000060601
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030764
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029666
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012891
rattus_norvegicus ENSRNOG00000019812
meriones_unguiculatus ENSMUGG00000009683
meriones_unguiculatus ENSMUGG00000009224
microtus_ochrogaster ENSMOCG00000014961
microtus_ochrogaster ENSMOCG00000004205
peromyscus_maniculatus_bairdii ENSPEMG00000019153
cricetulus_griseus_crigri_1.0 ENSCGRG00000013540
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020802
cricetulus_griseus_crigri-picr ENSCGRG00015020042
mesocricetus_auratus ENSMAUG00000011462
nannospalax_galili ENSNGAG00000001107
jaculus_jaculus ENSJJAG00000018226
ictidomys_tridecemlineatus ENSSTOG00000011725
marmota_marmota_marmota ENSMMMG00000007480
urocitellus_parryii ENSUPAG00010014907
spermophilus_dauricus ENSSDAG00000011550
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009407
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012945
fukomys_damarensis ENSFDAG00000009587
chinchilla_lanigera ENSCLAG00000004511
octodon_degus ENSODEG00000016355
cavia_porcellus ENSCPOG00000002835
cavia_aperea ENSCAPG00000014562
oryctolagus_cuniculus ENSOCUG00000027789
ovis_aries ENSOARG00000013898
capra_hircus ENSCHIG00000027007
bos_taurus ENSBTAG00000003264
bos_mutus ENSBMUG00000006035
bison_bison_bison ENSBBBG00000009696
tursiops_truncatus ENSTTRG00000002416
sus_scrofa ENSSSCG00000003211
equus_asinus_asinus ENSEASG00005009450
myotis_lucifugus ENSMLUG00000004897
pteropus_vampyrus ENSPVAG00000002570
neovison_vison ENSNVIG00000016627
mustela_putorius_furo ENSMPUG00000001934
canis_lupus_dingo ENSCAFG00020019507
canis_lupus_familiaris ENSCAFG00000003338
vulpes_vulpes ENSVVUG00000020260
ursus_americanus ENSUAMG00000014970
ursus_maritimus ENSUMAG00000009081
ailuropoda_melanoleuca ENSAMEG00000013215
panthera_pardus ENSPPRG00000013614
panthera_tigris_altaica ENSPTIG00000017281
felis_catus ENSFCAG00000009177
erinaceus_europaeus ENSEEUG00000010989
sorex_araneus ENSSARG00000005452
equus_caballus ENSECAG00000020882
ochotona_princeps ENSOPRG00000009918
loxodonta_africana ENSLAFG00000008751
echinops_telfairi ENSETEG00000018821
procavia_capensis ENSPCAG00000000352
dasypus_novemcinctus ENSDNOG00000034506
anolis_carolinensis ENSACAG00000012517
pogona_vitticeps ENSPVIG00000008481
notechis_scutatus ENSNSUG00000005049
salvator_merianae ENSSMRG00000021479
xenopus_tropicalis ENSXETG00000000307
eptatretus_burgeri ENSEBUG00000005768
