numida_meleagris ENSNMEG00000009542
notechis_scutatus ENSNSUG00000018047
sarcophilus_harrisii ENSSHAG00000013945
phascolarctos_cinereus ENSPCIG00000019838
bison_bison_bison ENSBBBG00000017865
vicugna_pacos ENSVPAG00000003515
ursus_americanus ENSUAMG00000011879
canis_lupus_dingo ENSCAFG00020026625
neovison_vison ENSNVIG00000008929
equus_caballus ENSECAG00000014036
homo_sapiens ENSG00000172785
homo_sapiens ENSG00000136682
pan_troglodytes ENSPTRG00000052678
pan_troglodytes ENSPTRG00000020994
pan_troglodytes ENSPTRG00000012383
callithrix_jacchus ENSCJAG00000010423
microcebus_murinus ENSMICG00000005330
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018236
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001570
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001893
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005336
fukomys_damarensis ENSFDAG00000011550
octodon_degus ENSODEG00000004552
castor_canadensis ENSCCNG00000019027
labrus_bergylta ENSLBEG00000017515
eptatretus_burgeri ENSEBUG00000010964
