capra_hircus ENSCHIG00000008158
ovis_aries ENSOARG00000016364
bos_taurus ENSBTAG00000053384
bos_mutus ENSBMUG00000016269
bison_bison_bison ENSBBBG00000018274
vicugna_pacos ENSVPAG00000000259
sus_scrofa ENSSSCG00000032064
equus_caballus ENSECAG00000037453
myotis_lucifugus ENSMLUG00000028825
ursus_maritimus ENSUMAG00000014215
ailuropoda_melanoleuca ENSAMEG00000018652
mustela_putorius_furo ENSMPUG00000019719
panthera_pardus ENSPPRG00000016056
panthera_tigris_altaica ENSPTIG00000008027
felis_catus ENSFCAG00000021912
urocitellus_parryii ENSUPAG00010002467
ictidomys_tridecemlineatus ENSSTOG00000034609
marmota_marmota_marmota ENSMMMG00000021853
cricetulus_griseus_crigri-picr ENSCGRG00015023901
cricetulus_griseus_crigri_1.0 ENSCGRG00000019016
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015905
mesocricetus_auratus ENSMAUG00000000175
peromyscus_maniculatus_bairdii ENSPEMG00000029483
rattus_norvegicus ENSRNOG00000026232
mus_spicilegus ENSMSIG00000000721
oryctolagus_cuniculus ENSOCUG00000008271
loxodonta_africana ENSLAFG00000027892
loxodonta_africana ENSLAFG00000029549
sus_scrofa ENSSSCG00000038920
sus_scrofa ENSSSCG00000037874
sus_scrofa ENSSSCG00000032008
sus_scrofa ENSSSCG00000039082
sus_scrofa ENSSSCG00000038910
sus_scrofa ENSSSCG00000032776
sus_scrofa ENSSSCG00000034433
sus_scrofa ENSSSCG00000035804
sus_scrofa ENSSSCG00000027490
ochotona_princeps ENSOPRG00000010233
procavia_capensis ENSPCAG00000002507
macaca_mulatta ENSMMUG00000020969
