oryzias_melastigma ENSOMEG00000004631
poecilia_formosa ENSPFOG00000022931
gadus_morhua ENSGMOG00000005024
pygocentrus_nattereri ENSPNAG00000006993
astyanax_mexicanus ENSAMXG00000012312
ictalurus_punctatus ENSIPUG00000022661
danio_rerio ENSDARG00000100255
astyanax_mexicanus ENSAMXG00000039098
pygocentrus_nattereri ENSPNAG00000023031
ictalurus_punctatus ENSIPUG00000021278
danio_rerio ENSDARG00000098376
gasterosteus_aculeatus ENSGACG00000015492
tetraodon_nigroviridis ENSTNIG00000001541
poecilia_formosa ENSPFOG00000006023
scleropages_formosus ENSSFOG00015003830
lepisosteus_oculatus ENSLOCG00000010618
