cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011874
cricetulus_griseus_crigri-picr ENSCGRG00015014565
cricetulus_griseus_crigri_1.0 ENSCGRG00000019708
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024883
mus_spicilegus ENSMSIG00000019782
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023973
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000095332
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025410
dipodomys_ordii ENSDORG00000028371
chinchilla_lanigera ENSCLAG00000014194
octodon_degus ENSODEG00000016039
fukomys_damarensis ENSFDAG00000016740
