manacus_vitellinus ENSMVIG00005005908
lepidothrix_coronata ENSLCOG00000009943
cyanistes_caeruleus ENSCCEG00000003886
parus_major ENSPMJG00000005961
ficedula_albicollis ENSFALG00000005319
lonchura_striata_domestica ENSLSDG00000007585
taeniopygia_guttata ENSTGUG00000006367
junco_hyemalis ENSJHYG00000014651
zonotrichia_albicollis ENSZALG00000003780
serinus_canaria ENSSCAG00000014148
meleagris_gallopavo ENSMGAG00000007635
calidris_pygmaea ENSCPGG00000018296
calidris_pugnax ENSCPUG00000005052
apteryx_owenii ENSAOWG00000003815
apteryx_haastii ENSAHAG00000016461
apteryx_rowi ENSARWG00000011137
dromaius_novaehollandiae ENSDNVG00000004689
