poecilia_latipinna ENSPLAG00000000516
poecilia_reticulata ENSPREG00000005527
scophthalmus_maximus ENSSMAG00000009458
amphilophus_citrinellus ENSACIG00000014694
anabas_testudineus ENSATEG00000023432
seriola_lalandi_dorsalis ENSSLDG00000016870
seriola_dumerili ENSSDUG00000014702
monopterus_albus ENSMALG00000000405
amphiprion_percula ENSAPEG00000023502
amphiprion_ocellaris ENSAOCG00000013926
acanthochromis_polyacanthus ENSAPOG00000008649
stegastes_partitus ENSSPAG00000021422
kryptolebias_marmoratus ENSKMAG00000018983
poecilia_formosa ENSPFOG00000012340
poecilia_mexicana ENSPMEG00000022567
xiphophorus_couchianus ENSXCOG00000012938
xiphophorus_maculatus ENSXMAG00000025919
gambusia_affinis ENSGAFG00000001135
cyprinodon_variegatus ENSCVAG00000020547
fundulus_heteroclitus ENSFHEG00000013729
oryzias_latipes_asm223467v1 ENSORLG00000017432
oryzias_latipes_asm223471v1 ENSORLG00020004376
oryzias_latipes_asm223469v1 ENSORLG00015003757
oryzias_melastigma ENSOMEG00000022509
astatotilapia_calliptera ENSACLG00000011253
pundamilia_nyererei ENSPNYG00000011448
maylandia_zebra ENSMZEG00005019138
haplochromis_burtoni ENSHBUG00000003646
neolamprologus_brichardi ENSNBRG00000014441
mastacembelus_armatus ENSMAMG00000018839
hippocampus_comes ENSHCOG00000005037
takifugu_rubripes ENSTRUG00000025192
tetraodon_nigroviridis ENSTNIG00000002864
mola_mola ENSMMOG00000006046
cynoglossus_semilaevis ENSCSEG00000004164
periophthalmus_magnuspinnatus ENSPMGG00000016442
esox_lucius ENSELUG00000010138
astyanax_mexicanus ENSAMXG00000042902
pygocentrus_nattereri ENSPNAG00000010252
ictalurus_punctatus ENSIPUG00000019811
danio_rerio ENSDARG00000091656
scleropages_formosus ENSSFOG00015004412
paramormyrops_kingsleyae ENSPKIG00000006092
lepisosteus_oculatus ENSLOCG00000015580
notechis_scutatus ENSNSUG00000012040
pogona_vitticeps ENSPVIG00000018708
salvator_merianae ENSSMRG00000004921
sphenodon_punctatus ENSSPUG00000017419
gallus_gallus ENSGALG00000009110
coturnix_japonica ENSCJPG00005012150
meleagris_gallopavo ENSMGAG00000008808
numida_meleagris ENSNMEG00000009775
anser_brachyrhynchus ENSABRG00000006189
melopsittacus_undulatus ENSMUNG00000016864
calidris_pugnax ENSCPUG00000009289
lepidothrix_coronata ENSLCOG00000011846
taeniopygia_guttata ENSTGUG00000004730
taeniopygia_guttata ENSTGUG00000016823
lonchura_striata_domestica ENSLSDG00000004366
junco_hyemalis ENSJHYG00000014992
parus_major ENSPMJG00000010122
ficedula_albicollis ENSFALG00000010023
serinus_canaria ENSSCAG00000000112
zonotrichia_albicollis ENSZALG00000007086
cyanistes_caeruleus ENSCCEG00000004972
manacus_vitellinus ENSMVIG00005007375
calidris_pygmaea ENSCPGG00000009072
anas_platyrhynchos_platyrhynchos ENSAPLG00000005115
apteryx_haastii ENSAHAG00000005285
apteryx_rowi ENSARWG00000012027
apteryx_owenii ENSAOWG00000012234
dromaius_novaehollandiae ENSDNVG00000012810
nothoprocta_perdicaria ENSNPEG00000014181
crocodylus_porosus ENSCPRG00005010480
gopherus_agassizii ENSGAGG00000017366
chelonoidis_abingdonii ENSCABG00000002488
chrysemys_picta_bellii ENSCPBG00000008154
pelodiscus_sinensis ENSPSIG00000017054
ornithorhynchus_anatinus ENSOANG00000014536
bos_mutus ENSBMUG00000011907
bos_taurus ENSBTAG00000012649
bison_bison_bison ENSBBBG00000022649
ovis_aries ENSOARG00000017974
sus_scrofa ENSSSCG00000021652
tursiops_truncatus ENSTTRG00000001023
vicugna_pacos ENSVPAG00000001530
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044155
mus_spicilegus ENSMSIG00000019550
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021881
rattus_norvegicus ENSRNOG00000058677
meriones_unguiculatus ENSMUGG00000024815
mesocricetus_auratus ENSMAUG00000015356
mesocricetus_auratus ENSMAUG00000015721
cricetulus_griseus_crigri_1.0 ENSCGRG00000005587
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000450
microtus_ochrogaster ENSMOCG00000001688
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029125
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028125
peromyscus_maniculatus_bairdii ENSPEMG00000009153
mesocricetus_auratus ENSMAUG00000020287
ochotona_princeps ENSOPRG00000014809
dasypus_novemcinctus ENSDNOG00000034613
dipodomys_ordii ENSDORG00000027868
echinops_telfairi ENSETEG00000011594
saimiri_boliviensis_boliviensis ENSSBOG00000023223
cebus_capucinus_imitator ENSCCAG00000021329
