dipodomys_ordii ENSDORG00000026035
castor_canadensis ENSCCNG00000025463
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027573
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028851
mus_spicilegus ENSMSIG00000026485
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026592
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028925
rattus_norvegicus ENSRNOG00000051720
rattus_norvegicus ENSRNOG00000051591
meriones_unguiculatus ENSMUGG00000020436
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022208
cricetulus_griseus_crigri_1.0 ENSCGRG00000003517
cricetulus_griseus_crigri-picr ENSCGRG00015016429
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000809
cricetulus_griseus_crigri_1.0 ENSCGRG00000010861
mesocricetus_auratus ENSMAUG00000008166
peromyscus_maniculatus_bairdii ENSPEMG00000020579
microtus_ochrogaster ENSMOCG00000009769
microtus_ochrogaster ENSMOCG00000022811
nannospalax_galili ENSNGAG00000011343
jaculus_jaculus ENSJJAG00000017209
urocitellus_parryii ENSUPAG00010021264
spermophilus_dauricus ENSSDAG00000019522
marmota_marmota_marmota ENSMMMG00000013689
ictidomys_tridecemlineatus ENSSTOG00000021201
octodon_degus ENSODEG00000003339
octodon_degus ENSODEG00000013445
chinchilla_lanigera ENSCLAG00000008191
cavia_porcellus ENSCPOG00000010413
cavia_aperea ENSCAPG00000002274
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011404
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013887
fukomys_damarensis ENSFDAG00000018019
oryctolagus_cuniculus ENSOCUG00000006418
ochotona_princeps ENSOPRG00000016441
macaca_mulatta ENSMMUG00000045983
macaca_fascicularis ENSMFAG00000042212
cercocebus_atys ENSCATG00000039643
macaca_nemestrina ENSMNEG00000031306
papio_anubis ENSPANG00000011853
macaca_fascicularis ENSMFAG00000003341
cercocebus_atys ENSCATG00000030204
rhinopithecus_bieti ENSRBIG00000014635
nomascus_leucogenys ENSNLEG00000029701
pan_troglodytes ENSPTRG00000000395
pan_paniscus ENSPPAG00000000217
homo_sapiens ENSG00000090273
gorilla_gorilla ENSGGOG00000015314
pongo_abelii ENSPPYG00000001673
