coturnix_japonica ENSCJPG00005008973
meleagris_gallopavo ENSMGAG00000005126
gallus_gallus ENSGALG00000010316
numida_meleagris ENSNMEG00000014390
anser_brachyrhynchus ENSABRG00000019615
anas_platyrhynchos_platyrhynchos ENSAPLG00000002906
lepidothrix_coronata ENSLCOG00000011690
manacus_vitellinus ENSMVIG00005006344
taeniopygia_guttata ENSTGUG00000001743
ficedula_albicollis ENSFALG00000008537
junco_hyemalis ENSJHYG00000008178
zonotrichia_albicollis ENSZALG00000011620
ficedula_albicollis ENSFALG00000008534
cyanistes_caeruleus ENSCCEG00000022242
calidris_pygmaea ENSCPGG00000000453
apteryx_haastii ENSAHAG00000004567
apteryx_rowi ENSARWG00000003098
apteryx_owenii ENSAOWG00000001051
dromaius_novaehollandiae ENSDNVG00000007983
nothoprocta_perdicaria ENSNPEG00000010730
crocodylus_porosus ENSCPRG00005001291
chelonoidis_abingdonii ENSCABG00000002309
gopherus_agassizii ENSGAGG00000015094
chrysemys_picta_bellii ENSCPBG00000014793
anolis_carolinensis ENSACAG00000006104
anolis_carolinensis ENSACAG00000011941
notechis_scutatus ENSNSUG00000001776
salvator_merianae ENSSMRG00000012884
pogona_vitticeps ENSPVIG00000017784
sphenodon_punctatus ENSSPUG00000001557
tupaia_belangeri ENSTBEG00000016970
cricetulus_griseus_crigri_1.0 ENSCGRG00000015525
myotis_lucifugus ENSMLUG00000012678
sorex_araneus ENSSARG00000007466
choloepus_hoffmanni ENSCHOG00000000896
procavia_capensis ENSPCAG00000002710
loxodonta_africana ENSLAFG00000028453
notamacropus_eugenii ENSMEUG00000003113
phascolarctos_cinereus ENSPCIG00000012720
sarcophilus_harrisii ENSSHAG00000004305
monodelphis_domestica ENSMODG00000020811
ornithorhynchus_anatinus ENSOANG00000003565
xenopus_tropicalis ENSXETG00000000377
latimeria_chalumnae ENSLACG00000012279
latimeria_chalumnae ENSLACG00000007577
scleropages_formosus ENSSFOG00015014319
paramormyrops_kingsleyae ENSPKIG00000019151
monopterus_albus ENSMALG00000006453
mastacembelus_armatus ENSMAMG00000016723
anabas_testudineus ENSATEG00000008714
seriola_dumerili ENSSDUG00000018493
seriola_lalandi_dorsalis ENSSLDG00000000454
scophthalmus_maximus ENSSMAG00000015329
mola_mola ENSMMOG00000014603
tetraodon_nigroviridis ENSTNIG00000016715
astatotilapia_calliptera ENSACLG00000000997
maylandia_zebra ENSMZEG00005020260
haplochromis_burtoni ENSHBUG00000004962
pundamilia_nyererei ENSPNYG00000006517
neolamprologus_brichardi ENSNBRG00000016480
oreochromis_niloticus ENSONIG00000014013
amphilophus_citrinellus ENSACIG00000002338
fundulus_heteroclitus ENSFHEG00000012531
cyprinodon_variegatus ENSCVAG00000021626
xiphophorus_maculatus ENSXMAG00000002929
gambusia_affinis ENSGAFG00000005938
poecilia_formosa ENSPFOG00000012315
poecilia_mexicana ENSPMEG00000015897
poecilia_latipinna ENSPLAG00000020041
kryptolebias_marmoratus ENSKMAG00000003187
oryzias_latipes_asm223469v1 ENSORLG00015001540
oryzias_melastigma ENSOMEG00000022923
amphiprion_percula ENSAPEG00000019848
amphiprion_ocellaris ENSAOCG00000002677
stegastes_partitus ENSSPAG00000014582
cynoglossus_semilaevis ENSCSEG00000014030
periophthalmus_magnuspinnatus ENSPMGG00000012901
gadus_morhua ENSGMOG00000006027
esox_lucius ENSELUG00000013510
pygocentrus_nattereri ENSPNAG00000019185
astyanax_mexicanus ENSAMXG00000020167
ictalurus_punctatus ENSIPUG00000009502
danio_rerio ENSDARG00000054619
scleropages_formosus ENSSFOG00015018363
paramormyrops_kingsleyae ENSPKIG00000003182
lepisosteus_oculatus ENSLOCG00000007363
takifugu_rubripes ENSTRUG00000021498
labrus_bergylta ENSLBEG00000027827
oryzias_latipes_asm223467v1 ENSORLG00000030227
stegastes_partitus ENSSPAG00000022916
acanthochromis_polyacanthus ENSAPOG00000011578
poecilia_reticulata ENSPREG00000003502
kryptolebias_marmoratus ENSKMAG00000004244
hippocampus_comes ENSHCOG00000009472
eptatretus_burgeri ENSEBUG00000009089
pogona_vitticeps ENSPVIG00000012058
petromyzon_marinus ENSPMAG00000005976
