acanthochromis_polyacanthus ENSAPOG00000009015
astatotilapia_calliptera ENSACLG00000011690
seriola_lalandi_dorsalis ENSSLDG00000015192
poecilia_mexicana ENSPMEG00000021370
poecilia_latipinna ENSPLAG00000022967
poecilia_reticulata ENSPREG00000003929
poecilia_reticulata ENSPREG00000003871
amphilophus_citrinellus ENSACIG00000000539
poecilia_latipinna ENSPLAG00000022954
labrus_bergylta ENSLBEG00000010491
seriola_lalandi_dorsalis ENSSLDG00000015136
maylandia_zebra ENSMZEG00005012811
oryzias_latipes_asm223467v1 ENSORLG00000022105
periophthalmus_magnuspinnatus ENSPMGG00000023584
astyanax_mexicanus ENSAMXG00000043607
scleropages_formosus ENSSFOG00015001664
