mastacembelus_armatus ENSMAMG00000009058
anabas_testudineus ENSATEG00000008147
takifugu_rubripes ENSTRUG00000024911
xiphophorus_maculatus ENSXMAG00000022889
gambusia_affinis ENSGAFG00000010028
kryptolebias_marmoratus ENSKMAG00000019839
oryzias_latipes_asm223471v1 ENSORLG00020017927
oryzias_latipes_asm223467v1 ENSORLG00000015150
oryzias_latipes_asm223469v1 ENSORLG00015002822
oryzias_melastigma ENSOMEG00000000554
haplochromis_burtoni ENSHBUG00000017916
pundamilia_nyererei ENSPNYG00000012921
seriola_lalandi_dorsalis ENSSLDG00000022124
esox_lucius ENSELUG00000016420
pygocentrus_nattereri ENSPNAG00000004847
astyanax_mexicanus ENSAMXG00000024248
ictalurus_punctatus ENSIPUG00000008874
