gadus_morhua ENSGMOG00000014170
esox_lucius ENSELUG00000014148
xiphophorus_maculatus ENSXMAG00000004114
xiphophorus_couchianus ENSXCOG00000000446
gambusia_affinis ENSGAFG00000019660
poecilia_formosa ENSPFOG00000000286
poecilia_mexicana ENSPMEG00000009915
poecilia_latipinna ENSPLAG00000019846
poecilia_reticulata ENSPREG00000000896
fundulus_heteroclitus ENSFHEG00000006797
cyprinodon_variegatus ENSCVAG00000022901
oryzias_latipes_asm223471v1 ENSORLG00020018236
oryzias_latipes_asm223467v1 ENSORLG00000010637
oryzias_latipes_asm223469v1 ENSORLG00015012927
oryzias_melastigma ENSOMEG00000019803
amphiprion_percula ENSAPEG00000004937
amphiprion_ocellaris ENSAOCG00000005835
acanthochromis_polyacanthus ENSAPOG00000019759
stegastes_partitus ENSSPAG00000004755
monopterus_albus ENSMALG00000022691
mastacembelus_armatus ENSMAMG00000001061
anabas_testudineus ENSATEG00000016479
maylandia_zebra ENSMZEG00005004296
astatotilapia_calliptera ENSACLG00000018511
haplochromis_burtoni ENSHBUG00000000839
pundamilia_nyererei ENSPNYG00000014170
neolamprologus_brichardi ENSNBRG00000001315
oreochromis_niloticus ENSONIG00000004081
amphilophus_citrinellus ENSACIG00000021874
kryptolebias_marmoratus ENSKMAG00000007732
seriola_dumerili ENSSDUG00000021154
seriola_lalandi_dorsalis ENSSLDG00000011830
scophthalmus_maximus ENSSMAG00000015366
hippocampus_comes ENSHCOG00000003602
mola_mola ENSMMOG00000017441
gasterosteus_aculeatus ENSGACG00000019542
tetraodon_nigroviridis ENSTNIG00000005994
acanthochromis_polyacanthus ENSAPOG00000013698
takifugu_rubripes ENSTRUG00000007906
cynoglossus_semilaevis ENSCSEG00000001908
labrus_bergylta ENSLBEG00000026692
periophthalmus_magnuspinnatus ENSPMGG00000023720
pygocentrus_nattereri ENSPNAG00000029094
astyanax_mexicanus ENSAMXG00000002363
ictalurus_punctatus ENSIPUG00000017167
danio_rerio ENSDARG00000003035
scleropages_formosus ENSSFOG00015002266
paramormyrops_kingsleyae ENSPKIG00000020567
lepisosteus_oculatus ENSLOCG00000012077
choloepus_hoffmanni ENSCHOG00000013579
dasypus_novemcinctus ENSDNOG00000023587
loxodonta_africana ENSLAFG00000023233
procavia_capensis ENSPCAG00000013558
echinops_telfairi ENSETEG00000007366
pteropus_vampyrus ENSPVAG00000008354
myotis_lucifugus ENSMLUG00000016852
ursus_maritimus ENSUMAG00000015897
ursus_americanus ENSUAMG00000000488
ailuropoda_melanoleuca ENSAMEG00000016563
mustela_putorius_furo ENSMPUG00000009329
neovison_vison ENSNVIG00000014622
