zonotrichia_albicollis ENSZALG00000013650
junco_hyemalis ENSJHYG00000013742
ficedula_albicollis ENSFALG00000007700
lonchura_striata_domestica ENSLSDG00000003435
taeniopygia_guttata ENSTGUG00000009228
parus_major ENSPMJG00000017342
cyanistes_caeruleus ENSCCEG00000021286
meleagris_gallopavo ENSMGAG00000009082
coturnix_japonica ENSCJPG00005014550
numida_meleagris ENSNMEG00000022621
lepidothrix_coronata ENSLCOG00000003933
manacus_vitellinus ENSMVIG00005006012
anser_brachyrhynchus ENSABRG00000018329
melopsittacus_undulatus ENSMUNG00000014432
calidris_pugnax ENSCPUG00000012948
calidris_pygmaea ENSCPGG00000019192
dromaius_novaehollandiae ENSDNVG00000007251
anas_platyrhynchos_platyrhynchos ENSAPLG00000009202
serinus_canaria ENSSCAG00000004257
apteryx_owenii ENSAOWG00000009358
apteryx_haastii ENSAHAG00000000135
apteryx_rowi ENSARWG00000006523
nothoprocta_perdicaria ENSNPEG00000006352
crocodylus_porosus ENSCPRG00005006394
chelonoidis_abingdonii ENSCABG00000021411
gopherus_agassizii ENSGAGG00000017218
chrysemys_picta_bellii ENSCPBG00000012293
pogona_vitticeps ENSPVIG00000002788
anolis_carolinensis ENSACAG00000004139
notechis_scutatus ENSNSUG00000020091
sarcophilus_harrisii ENSSHAG00000017330
notamacropus_eugenii ENSMEUG00000010419
monodelphis_domestica ENSMODG00000015283
loxodonta_africana ENSLAFG00000003731
procavia_capensis ENSPCAG00000016401
echinops_telfairi ENSETEG00000003351
chinchilla_lanigera ENSCLAG00000009764
octodon_degus ENSODEG00000006291
cavia_porcellus ENSCPOG00000003544
cavia_aperea ENSCAPG00000008729
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007830
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008549
fukomys_damarensis ENSFDAG00000007218
urocitellus_parryii ENSUPAG00010017495
ictidomys_tridecemlineatus ENSSTOG00000026642
marmota_marmota_marmota ENSMMMG00000021383
castor_canadensis ENSCCNG00000028203
dipodomys_ordii ENSDORG00000015243
mus_spicilegus ENSMSIG00000012281
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000063919
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028637
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027638
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024219
rattus_norvegicus ENSRNOG00000001141
meriones_unguiculatus ENSMUGG00000024499
cricetulus_griseus_crigri-picr ENSCGRG00015002915
cricetulus_griseus_crigri_1.0 ENSCGRG00000006973
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000544
mesocricetus_auratus ENSMAUG00000013203
microtus_ochrogaster ENSMOCG00000006737
peromyscus_maniculatus_bairdii ENSPEMG00000001823
nannospalax_galili ENSNGAG00000020807
jaculus_jaculus ENSJJAG00000016448
tupaia_belangeri ENSTBEG00000009557
pan_troglodytes ENSPTRG00000005517
pan_paniscus ENSPPAG00000028134
homo_sapiens ENSG00000139767
gorilla_gorilla ENSGGOG00000005338
pongo_abelii ENSPPYG00000005014
nomascus_leucogenys ENSNLEG00000000200
colobus_angolensis_palliatus ENSCANG00000031719
piliocolobus_tephrosceles ENSPTEG00000003316
macaca_fascicularis ENSMFAG00000041271
macaca_nemestrina ENSMNEG00000044154
mandrillus_leucophaeus ENSMLEG00000034455
papio_anubis ENSPANG00000022544
cercocebus_atys ENSCATG00000036343
theropithecus_gelada ENSTGEG00000022200
chlorocebus_sabaeus ENSCSAG00000002300
rhinopithecus_roxellana ENSRROG00000035868
rhinopithecus_bieti ENSRBIG00000040107
macaca_mulatta ENSMMUG00000021230
callithrix_jacchus ENSCJAG00000009146
saimiri_boliviensis_boliviensis ENSSBOG00000035310
cebus_capucinus_imitator ENSCCAG00000022479
aotus_nancymaae ENSANAG00000020333
carlito_syrichta ENSTSYG00000012239
propithecus_coquereli ENSPCOG00000013803
prolemur_simus ENSPSMG00000008073
microcebus_murinus ENSMICG00000012386
otolemur_garnettii ENSOGAG00000015431
oryctolagus_cuniculus ENSOCUG00000004503
ochotona_princeps ENSOPRG00000016981
pteropus_vampyrus ENSPVAG00000017487
myotis_lucifugus ENSMLUG00000017666
vulpes_vulpes ENSVVUG00000013334
canis_lupus_familiaris ENSCAFG00000023113
canis_lupus_dingo ENSCAFG00020018665
ailuropoda_melanoleuca ENSAMEG00000016072
neovison_vison ENSNVIG00000013633
mustela_putorius_furo ENSMPUG00000002930
panthera_pardus ENSPPRG00000002659
felis_catus ENSFCAG00000010536
panthera_tigris_altaica ENSPTIG00000011414
sorex_araneus ENSSARG00000012647
ovis_aries ENSOARG00000002063
capra_hircus ENSCHIG00000019151
bos_taurus ENSBTAG00000008676
bos_mutus ENSBMUG00000021720
bison_bison_bison ENSBBBG00000015549
vicugna_pacos ENSVPAG00000007937
sus_scrofa ENSSSCG00000009845
tursiops_truncatus ENSTTRG00000014603
equus_caballus ENSECAG00000021729
equus_asinus_asinus ENSEASG00005008759
erinaceus_europaeus ENSEEUG00000001508
choloepus_hoffmanni ENSCHOG00000003201
dasypus_novemcinctus ENSDNOG00000000260
xenopus_tropicalis ENSXETG00000019934
