melopsittacus_undulatus ENSMUNG00000013578
calidris_pygmaea ENSCPGG00000018267
taeniopygia_guttata ENSTGUG00000002160
lonchura_striata_domestica ENSLSDG00000012368
zonotrichia_albicollis ENSZALG00000012650
parus_major ENSPMJG00000000515
meleagris_gallopavo ENSMGAG00000003791
coturnix_japonica ENSCJPG00005016386
anas_platyrhynchos_platyrhynchos ENSAPLG00000010508
apteryx_haastii ENSAHAG00000008992
apteryx_owenii ENSAOWG00000018775
apteryx_rowi ENSARWG00000016225
nothoprocta_perdicaria ENSNPEG00000006465
chelonoidis_abingdonii ENSCABG00000010462
gopherus_agassizii ENSGAGG00000014071
sphenodon_punctatus ENSSPUG00000014595
ornithorhynchus_anatinus ENSOANG00000011663
notechis_scutatus ENSNSUG00000016357
anolis_carolinensis ENSACAG00000008514
chinchilla_lanigera ENSCLAG00000001764
octodon_degus ENSODEG00000003799
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007629
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003138
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001697
fukomys_damarensis ENSFDAG00000006389
castor_canadensis ENSCCNG00000025067
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014336
cricetulus_griseus_crigri_1.0 ENSCGRG00000006503
cricetulus_griseus_crigri-picr ENSCGRG00015010367
microtus_ochrogaster ENSMOCG00000000865
peromyscus_maniculatus_bairdii ENSPEMG00000015509
meriones_unguiculatus ENSMUGG00000003730
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031137
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034258
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033104
mus_spicilegus ENSMSIG00000013334
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031646
rattus_norvegicus ENSRNOG00000042753
nannospalax_galili ENSNGAG00000012709
jaculus_jaculus ENSJJAG00000016169
oryctolagus_cuniculus ENSOCUG00000012713
dipodomys_ordii ENSDORG00000023968
pan_paniscus ENSPPAG00000035766
pongo_abelii ENSPPYG00000020777
rhinopithecus_roxellana ENSRROG00000039580
rhinopithecus_bieti ENSRBIG00000035787
cercocebus_atys ENSCATG00000043985
papio_anubis ENSPANG00000002854
macaca_nemestrina ENSMNEG00000036581
macaca_fascicularis ENSMFAG00000041190
macaca_mulatta ENSMMUG00000030225
