oryctolagus_cuniculus ENSOCUG00000002141
ochotona_princeps ENSOPRG00000015934
tupaia_belangeri ENSTBEG00000000032
pan_troglodytes ENSPTRG00000043163
pan_paniscus ENSPPAG00000002083
homo_sapiens ENSG00000176200
pongo_abelii ENSPPYG00000003233
macaca_fascicularis ENSMFAG00000007872
theropithecus_gelada ENSTGEG00000020360
chlorocebus_sabaeus ENSCSAG00000006086
piliocolobus_tephrosceles ENSPTEG00000029269
callithrix_jacchus ENSCJAG00000043860
myotis_lucifugus ENSMLUG00000029058
pteropus_vampyrus ENSPVAG00000015237
sorex_araneus ENSSARG00000008234
sorex_araneus ENSSARG00000003891
sorex_araneus ENSSARG00000003699
erinaceus_europaeus ENSEEUG00000010738
ursus_maritimus ENSUMAG00000018522
ursus_americanus ENSUAMG00000009470
ailuropoda_melanoleuca ENSAMEG00000003997
neovison_vison ENSNVIG00000000256
mustela_putorius_furo ENSMPUG00000020006
canis_lupus_familiaris ENSCAFG00000031594
canis_lupus_dingo ENSCAFG00020001336
vulpes_vulpes ENSVVUG00000016934
panthera_tigris_altaica ENSPTIG00000004535
panthera_pardus ENSPPRG00000018260
equus_caballus ENSECAG00000030770
equus_caballus ENSECAG00000031883
vicugna_pacos ENSVPAG00000007318
cricetulus_griseus_crigri-picr ENSCGRG00015006512
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008473
mesocricetus_auratus ENSMAUG00000002262
microtus_ochrogaster ENSMOCG00000002193
peromyscus_maniculatus_bairdii ENSPEMG00000030514
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023654
mus_spicilegus ENSMSIG00000030702
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000067529
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022741
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014235
rattus_norvegicus ENSRNOG00000021065
meriones_unguiculatus ENSMUGG00000019024
castor_canadensis ENSCCNG00000013514
marmota_marmota_marmota ENSMMMG00000000034
ictidomys_tridecemlineatus ENSSTOG00000030989
cavia_porcellus ENSCPOG00000040331
cavia_porcellus ENSCPOG00000039596
chinchilla_lanigera ENSCLAG00000017643
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020291
bison_bison_bison ENSBBBG00000020360
prolemur_simus ENSPSMG00000004566
dasypus_novemcinctus ENSDNOG00000033872
