gadus_morhua ENSGMOG00000012686
cyprinodon_variegatus ENSCVAG00000004847
esox_lucius ENSELUG00000001846
labrus_bergylta ENSLBEG00000017284
gasterosteus_aculeatus ENSGACG00000019816
takifugu_rubripes ENSTRUG00000013697
tetraodon_nigroviridis ENSTNIG00000011011
mola_mola ENSMMOG00000001753
mastacembelus_armatus ENSMAMG00000012100
monopterus_albus ENSMALG00000011764
anabas_testudineus ENSATEG00000018788
seriola_dumerili ENSSDUG00000002021
seriola_lalandi_dorsalis ENSSLDG00000020461
scophthalmus_maximus ENSSMAG00000002343
amphiprion_percula ENSAPEG00000007496
amphiprion_ocellaris ENSAOCG00000009471
acanthochromis_polyacanthus ENSAPOG00000017975
stegastes_partitus ENSSPAG00000011988
haplochromis_burtoni ENSHBUG00000019407
astatotilapia_calliptera ENSACLG00000022464
maylandia_zebra ENSMZEG00005005437
pundamilia_nyererei ENSPNYG00000001289
neolamprologus_brichardi ENSNBRG00000007031
oreochromis_niloticus ENSONIG00000011450
amphilophus_citrinellus ENSACIG00000003343
fundulus_heteroclitus ENSFHEG00000004459
cyprinodon_variegatus ENSCVAG00000011963
xiphophorus_maculatus ENSXMAG00000018602
xiphophorus_couchianus ENSXCOG00000013665
gambusia_affinis ENSGAFG00000015189
poecilia_mexicana ENSPMEG00000020701
poecilia_latipinna ENSPLAG00000009703
poecilia_reticulata ENSPREG00000001702
poecilia_formosa ENSPFOG00000008371
kryptolebias_marmoratus ENSKMAG00000009228
oryzias_latipes_asm223467v1 ENSORLG00000015326
oryzias_latipes_asm223471v1 ENSORLG00020013504
oryzias_latipes_asm223469v1 ENSORLG00015012028
oryzias_melastigma ENSOMEG00000006086
cynoglossus_semilaevis ENSCSEG00000006422
hippocampus_comes ENSHCOG00000012222
periophthalmus_magnuspinnatus ENSPMGG00000003332
pygocentrus_nattereri ENSPNAG00000004999
astyanax_mexicanus ENSAMXG00000040306
ictalurus_punctatus ENSIPUG00000023439
danio_rerio ENSDARG00000056938
scleropages_formosus ENSSFOG00015023956
paramormyrops_kingsleyae ENSPKIG00000005157
lepisosteus_oculatus ENSLOCG00000016387
anser_brachyrhynchus ENSABRG00000010603
anas_platyrhynchos_platyrhynchos ENSAPLG00000013949
gallus_gallus ENSGALG00000011270
meleagris_gallopavo ENSMGAG00000011304
coturnix_japonica ENSCJPG00005004896
numida_meleagris ENSNMEG00000006077
calidris_pygmaea ENSCPGG00000002708
calidris_pugnax ENSCPUG00000002787
melopsittacus_undulatus ENSMUNG00000015267
cyanistes_caeruleus ENSCCEG00000010843
parus_major ENSPMJG00000012845
lonchura_striata_domestica ENSLSDG00000016677
taeniopygia_guttata ENSTGUG00000008172
serinus_canaria ENSSCAG00000007497
zonotrichia_albicollis ENSZALG00000010327
junco_hyemalis ENSJHYG00000011253
ficedula_albicollis ENSFALG00000010649
manacus_vitellinus ENSMVIG00005002535
lepidothrix_coronata ENSLCOG00000008074
apteryx_haastii ENSAHAG00000017256
apteryx_owenii ENSAOWG00000009766
apteryx_rowi ENSARWG00000011546
dromaius_novaehollandiae ENSDNVG00000014417
nothoprocta_perdicaria ENSNPEG00000013921
crocodylus_porosus ENSCPRG00005002658
chrysemys_picta_bellii ENSCPBG00000000270
chelonoidis_abingdonii ENSCABG00000022087
pelodiscus_sinensis ENSPSIG00000003599
pogona_vitticeps ENSPVIG00000023864
anolis_carolinensis ENSACAG00000012355
notechis_scutatus ENSNSUG00000016655
salvator_merianae ENSSMRG00000010906
sphenodon_punctatus ENSSPUG00000001530
phascolarctos_cinereus ENSPCIG00000026566
notamacropus_eugenii ENSMEUG00000006015
sarcophilus_harrisii ENSSHAG00000004631
monodelphis_domestica ENSMODG00000009669
capra_hircus ENSCHIG00000003728
ovis_aries ENSOARG00000015715
bos_mutus ENSBMUG00000026875
bos_taurus ENSBTAG00000014340
bison_bison_bison ENSBBBG00000008352
tursiops_truncatus ENSTTRG00000001337
sus_scrofa ENSSSCG00000000917
vicugna_pacos ENSVPAG00000011182
equus_asinus_asinus ENSEASG00005019332
equus_caballus ENSECAG00000017668
mustela_putorius_furo ENSMPUG00000007541
neovison_vison ENSNVIG00000023924
ursus_americanus ENSUAMG00000000824
ursus_maritimus ENSUMAG00000002489
ailuropoda_melanoleuca ENSAMEG00000014670
canis_lupus_familiaris ENSCAFG00000006134
canis_lupus_dingo ENSCAFG00020022620
vulpes_vulpes ENSVVUG00000011712
panthera_tigris_altaica ENSPTIG00000009124
panthera_pardus ENSPPRG00000001587
felis_catus ENSFCAG00000041006
pteropus_vampyrus ENSPVAG00000008952
myotis_lucifugus ENSMLUG00000007698
sorex_araneus ENSSARG00000014090
erinaceus_europaeus ENSEEUG00000014477
pan_troglodytes ENSPTRG00000005288
pan_paniscus ENSPPAG00000042356
homo_sapiens ENSG00000139330
gorilla_gorilla ENSGGOG00000009652
pongo_abelii ENSPPYG00000004824
nomascus_leucogenys ENSNLEG00000005587
papio_anubis ENSPANG00000007908
mandrillus_leucophaeus ENSMLEG00000042668
macaca_fascicularis ENSMFAG00000041597
macaca_nemestrina ENSMNEG00000033316
cercocebus_atys ENSCATG00000041652
theropithecus_gelada ENSTGEG00000001190
chlorocebus_sabaeus ENSCSAG00000003747
rhinopithecus_bieti ENSRBIG00000029673
rhinopithecus_roxellana ENSRROG00000038824
piliocolobus_tephrosceles ENSPTEG00000038199
colobus_angolensis_palliatus ENSCANG00000034357
callithrix_jacchus ENSCJAG00000019551
