rhinopithecus_roxellana ENSRROG00000040426
rhinopithecus_bieti ENSRBIG00000029871
colobus_angolensis_palliatus ENSCANG00000028057
macaca_mulatta ENSMMUG00000046863
macaca_mulatta ENSMMUG00000048297
macaca_nemestrina ENSMNEG00000045322
macaca_fascicularis ENSMFAG00000037831
papio_anubis ENSPANG00000035788
mandrillus_leucophaeus ENSMLEG00000036295
cercocebus_atys ENSCATG00000030068
pan_paniscus ENSPPAG00000012250
pan_troglodytes ENSPTRG00000048680
gorilla_gorilla ENSGGOG00000041991
nomascus_leucogenys ENSNLEG00000028618
cebus_capucinus_imitator ENSCCAG00000030622
