mus_musculus_strain_reference_cl57bl6 ENSMUSG00000005615
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021569
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020673
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016376
rattus_norvegicus ENSRNOG00000001762
meriones_unguiculatus ENSMUGG00000026990
meriones_unguiculatus ENSMUGG00000026965
cricetulus_griseus_crigri-picr ENSCGRG00015021996
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010391
cricetulus_griseus_crigri_1.0 ENSCGRG00000016193
mesocricetus_auratus ENSMAUG00000010629
microtus_ochrogaster ENSMOCG00000018207
peromyscus_maniculatus_bairdii ENSPEMG00000024617
nannospalax_galili ENSNGAG00000002902
chinchilla_lanigera ENSCLAG00000011331
octodon_degus ENSODEG00000012250
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017167
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019156
fukomys_damarensis ENSFDAG00000018191
cavia_aperea ENSCAPG00000000408
cavia_porcellus ENSCPOG00000030268
tupaia_belangeri ENSTBEG00000016734
pan_paniscus ENSPPAG00000033606
pan_troglodytes ENSPTRG00000049191
gorilla_gorilla ENSGGOG00000001988
homo_sapiens ENSG00000161217
pongo_abelii ENSPPYG00000014437
nomascus_leucogenys ENSNLEG00000001401
rhinopithecus_roxellana ENSRROG00000032721
rhinopithecus_bieti ENSRBIG00000033613
piliocolobus_tephrosceles ENSPTEG00000000716
colobus_angolensis_palliatus ENSCANG00000035552
macaca_mulatta ENSMMUG00000038924
macaca_fascicularis ENSMFAG00000045428
macaca_nemestrina ENSMNEG00000040781
mandrillus_leucophaeus ENSMLEG00000037016
cercocebus_atys ENSCATG00000043705
papio_anubis ENSPANG00000006484
theropithecus_gelada ENSTGEG00000027043
cebus_capucinus_imitator ENSCCAG00000027937
saimiri_boliviensis_boliviensis ENSSBOG00000030881
callithrix_jacchus ENSCJAG00000015086
aotus_nancymaae ENSANAG00000034891
carlito_syrichta ENSTSYG00000013058
ochotona_princeps ENSOPRG00000012491
loxodonta_africana ENSLAFG00000012721
procavia_capensis ENSPCAG00000012433
echinops_telfairi ENSETEG00000009576
castor_canadensis ENSCCNG00000008800
dipodomys_ordii ENSDORG00000027406
jaculus_jaculus ENSJJAG00000011542
ictidomys_tridecemlineatus ENSSTOG00000027304
spermophilus_dauricus ENSSDAG00000006545
urocitellus_parryii ENSUPAG00010001106
marmota_marmota_marmota ENSMMMG00000009898
microcebus_murinus ENSMICG00000049044
microcebus_murinus ENSMICG00000032449
prolemur_simus ENSPSMG00000007066
propithecus_coquereli ENSPCOG00000028111
otolemur_garnettii ENSOGAG00000001596
ovis_aries ENSOARG00000020318
capra_hircus ENSCHIG00000019026
bos_taurus ENSBTAG00000016979
bos_mutus ENSBMUG00000021254
bison_bison_bison ENSBBBG00000010806
tursiops_truncatus ENSTTRG00000012694
sus_scrofa ENSSSCG00000011845
vicugna_pacos ENSVPAG00000010017
sorex_araneus ENSSARG00000001465
pteropus_vampyrus ENSPVAG00000015652
myotis_lucifugus ENSMLUG00000009084
ursus_americanus ENSUAMG00000028407
ursus_maritimus ENSUMAG00000003244
ailuropoda_melanoleuca ENSAMEG00000003835
mustela_putorius_furo ENSMPUG00000003939
neovison_vison ENSNVIG00000007510
canis_lupus_dingo ENSCAFG00020003157
canis_lupus_familiaris ENSCAFG00000012967
vulpes_vulpes ENSVVUG00000008467
panthera_tigris_altaica ENSPTIG00000009221
panthera_pardus ENSPPRG00000022925
felis_catus ENSFCAG00000024228
equus_caballus ENSECAG00000017477
equus_asinus_asinus ENSEASG00005006739
choloepus_hoffmanni ENSCHOG00000010073
choloepus_hoffmanni ENSCHOG00000000922
dasypus_novemcinctus ENSDNOG00000042276
oryctolagus_cuniculus ENSOCUG00000000123
chlorocebus_sabaeus ENSCSAG00000008571
mus_spicilegus ENSMSIG00000008183
ornithorhynchus_anatinus ENSOANG00000031549
erinaceus_europaeus ENSEEUG00000013977
phascolarctos_cinereus ENSPCIG00000018697
notamacropus_eugenii ENSMEUG00000005373
sarcophilus_harrisii ENSSHAG00000008359
monodelphis_domestica ENSMODG00000018432
ornithorhynchus_anatinus ENSOANG00000000419
zonotrichia_albicollis ENSZALG00000006496
junco_hyemalis ENSJHYG00000012176
serinus_canaria ENSSCAG00000014869
taeniopygia_guttata ENSTGUG00000009486
lonchura_striata_domestica ENSLSDG00000010013
parus_major ENSPMJG00000019598
cyanistes_caeruleus ENSCCEG00000014421
ficedula_albicollis ENSFALG00000007448
gallus_gallus ENSGALG00000007474
anas_platyrhynchos_platyrhynchos ENSAPLG00000003305
calidris_pygmaea ENSCPGG00000018384
manacus_vitellinus ENSMVIG00005003555
lepidothrix_coronata ENSLCOG00000000765
calidris_pugnax ENSCPUG00000017115
melopsittacus_undulatus ENSMUNG00000008414
coturnix_japonica ENSCJPG00005013606
meleagris_gallopavo ENSMGAG00000007676
numida_meleagris ENSNMEG00000005595
anser_brachyrhynchus ENSABRG00000008308
apteryx_haastii ENSAHAG00000006486
apteryx_owenii ENSAOWG00000018401
apteryx_rowi ENSARWG00000007271
dromaius_novaehollandiae ENSDNVG00000006466
nothoprocta_perdicaria ENSNPEG00000008076
crocodylus_porosus ENSCPRG00005012487
gopherus_agassizii ENSGAGG00000023265
chelonoidis_abingdonii ENSCABG00000004940
chrysemys_picta_bellii ENSCPBG00000008189
pelodiscus_sinensis ENSPSIG00000002207
pogona_vitticeps ENSPVIG00000005464
anolis_carolinensis ENSACAG00000006962
notechis_scutatus ENSNSUG00000005106
salvator_merianae ENSSMRG00000016402
sphenodon_punctatus ENSSPUG00000011155
xenopus_tropicalis ENSXETG00000003079
latimeria_chalumnae ENSLACG00000009963
labrus_bergylta ENSLBEG00000013025
gasterosteus_aculeatus ENSGACG00000015442
mola_mola ENSMMOG00000008050
monopterus_albus ENSMALG00000022080
mastacembelus_armatus ENSMAMG00000006685
anabas_testudineus ENSATEG00000017306
cynoglossus_semilaevis ENSCSEG00000013124
seriola_lalandi_dorsalis ENSSLDG00000020304
seriola_dumerili ENSSDUG00000013919
scophthalmus_maximus ENSSMAG00000004543
amphiprion_percula ENSAPEG00000016980
amphiprion_ocellaris ENSAOCG00000001439
acanthochromis_polyacanthus ENSAPOG00000000138
acanthochromis_polyacanthus ENSAPOG00000015465
acanthochromis_polyacanthus ENSAPOG00000012593
stegastes_partitus ENSSPAG00000007303
pundamilia_nyererei ENSPNYG00000004498
haplochromis_burtoni ENSHBUG00000015337
astatotilapia_calliptera ENSACLG00000006334
maylandia_zebra ENSMZEG00005002705
neolamprologus_brichardi ENSNBRG00000022706
oreochromis_niloticus ENSONIG00000010401
amphilophus_citrinellus ENSACIG00000019309
fundulus_heteroclitus ENSFHEG00000018749
cyprinodon_variegatus ENSCVAG00000020539
xiphophorus_couchianus ENSXCOG00000008057
xiphophorus_maculatus ENSXMAG00000019014
poecilia_formosa ENSPFOG00000009131
poecilia_mexicana ENSPMEG00000017825
poecilia_latipinna ENSPLAG00000015415
poecilia_reticulata ENSPREG00000014022
gambusia_affinis ENSGAFG00000007333
kryptolebias_marmoratus ENSKMAG00000008554
oryzias_latipes_asm223471v1 ENSORLG00020018958
oryzias_latipes_asm223469v1 ENSORLG00015019687
oryzias_latipes_asm223467v1 ENSORLG00000014200
oryzias_melastigma ENSOMEG00000018447
takifugu_rubripes ENSTRUG00000000674
tetraodon_nigroviridis ENSTNIG00000011090
periophthalmus_magnuspinnatus ENSPMGG00000003302
hippocampus_comes ENSHCOG00000012599
gadus_morhua ENSGMOG00000007851
esox_lucius ENSELUG00000021543
pygocentrus_nattereri ENSPNAG00000003446
astyanax_mexicanus ENSAMXG00000018644
ictalurus_punctatus ENSIPUG00000012756
ictalurus_punctatus ENSIPUG00000012785
