macaca_fascicularis ENSMFAG00000040789
macaca_nemestrina ENSMNEG00000036486
macaca_mulatta ENSMMUG00000000429
chlorocebus_sabaeus ENSCSAG00000014842
theropithecus_gelada ENSTGEG00000010155
papio_anubis ENSPANG00000008284
cercocebus_atys ENSCATG00000042313
mandrillus_leucophaeus ENSMLEG00000043584
colobus_angolensis_palliatus ENSCANG00000030280
piliocolobus_tephrosceles ENSPTEG00000038650
rhinopithecus_bieti ENSRBIG00000043056
rhinopithecus_roxellana ENSRROG00000041903
gorilla_gorilla ENSGGOG00000026060
gorilla_gorilla ENSGGOG00000014927
pan_troglodytes ENSPTRG00000051076
pan_troglodytes ENSPTRG00000006358
pan_paniscus ENSPPAG00000028714
homo_sapiens ENSG00000125378
pongo_abelii ENSPPYG00000005826
nomascus_leucogenys ENSNLEG00000012666
saimiri_boliviensis_boliviensis ENSSBOG00000018224
callithrix_jacchus ENSCJAG00000040108
cebus_capucinus_imitator ENSCCAG00000036218
aotus_nancymaae ENSANAG00000035952
prolemur_simus ENSPSMG00000008905
propithecus_coquereli ENSPCOG00000026776
microcebus_murinus ENSMICG00000011855
otolemur_garnettii ENSOGAG00000031354
oryctolagus_cuniculus ENSOCUG00000011097
ochotona_princeps ENSOPRG00000014349
carlito_syrichta ENSTSYG00000037298
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020044
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019156
mus_spicilegus ENSMSIG00000018947
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000021835
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030173
rattus_norvegicus ENSRNOG00000009694
meriones_unguiculatus ENSMUGG00000000252
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012801
cricetulus_griseus_crigri-picr ENSCGRG00015000006
cricetulus_griseus_crigri_1.0 ENSCGRG00000006389
mesocricetus_auratus ENSMAUG00000001775
peromyscus_maniculatus_bairdii ENSPEMG00000023851
microtus_ochrogaster ENSMOCG00000021555
nannospalax_galili ENSNGAG00000004531
jaculus_jaculus ENSJJAG00000005612
castor_canadensis ENSCCNG00000015583
dipodomys_ordii ENSDORG00000010496
ictidomys_tridecemlineatus ENSSTOG00000001152
spermophilus_dauricus ENSSDAG00000018783
urocitellus_parryii ENSUPAG00010003585
marmota_marmota_marmota ENSMMMG00000002321
chinchilla_lanigera ENSCLAG00000013951
octodon_degus ENSODEG00000011213
cavia_aperea ENSCAPG00000011082
cavia_porcellus ENSCPOG00000006882
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010274
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000957
fukomys_damarensis ENSFDAG00000009044
myotis_lucifugus ENSMLUG00000001080
pteropus_vampyrus ENSPVAG00000014769
ursus_maritimus ENSUMAG00000015839
ursus_americanus ENSUAMG00000022274
ailuropoda_melanoleuca ENSAMEG00000015317
mustela_putorius_furo ENSMPUG00000005464
neovison_vison ENSNVIG00000002596
canis_lupus_familiaris ENSCAFG00000014880
canis_lupus_dingo ENSCAFG00020018307
vulpes_vulpes ENSVVUG00000029671
panthera_tigris_altaica ENSPTIG00000017031
panthera_pardus ENSPPRG00000018478
felis_catus ENSFCAG00000004772
ovis_aries ENSOARG00000021069
capra_hircus ENSCHIG00000021149
bos_mutus ENSBMUG00000014429
bos_taurus ENSBTAG00000003835
bison_bison_bison ENSBBBG00000018643
tursiops_truncatus ENSTTRG00000009278
sus_scrofa ENSSSCG00000005045
equus_asinus_asinus ENSEASG00005003287
equus_caballus ENSECAG00000017676
sorex_araneus ENSSARG00000003116
erinaceus_europaeus ENSEEUG00000007825
dasypus_novemcinctus ENSDNOG00000042244
choloepus_hoffmanni ENSCHOG00000012347
loxodonta_africana ENSLAFG00000012479
echinops_telfairi ENSETEG00000000715
procavia_capensis ENSPCAG00000000570
phascolarctos_cinereus ENSPCIG00000011022
notamacropus_eugenii ENSMEUG00000015384
sarcophilus_harrisii ENSSHAG00000002311
monodelphis_domestica ENSMODG00000012951
notechis_scutatus ENSNSUG00000019322
pogona_vitticeps ENSPVIG00000010801
salvator_merianae ENSSMRG00000009515
anolis_carolinensis ENSACAG00000017900
sphenodon_punctatus ENSSPUG00000005154
lepidothrix_coronata ENSLCOG00000011714
cyanistes_caeruleus ENSCCEG00000002890
taeniopygia_guttata ENSTGUG00000013095
lonchura_striata_domestica ENSLSDG00000001843
junco_hyemalis ENSJHYG00000016215
serinus_canaria ENSSCAG00000002351
ficedula_albicollis ENSFALG00000003821
calidris_pygmaea ENSCPGG00000008223
calidris_pugnax ENSCPUG00000018858
gallus_gallus ENSGALG00000012429
coturnix_japonica ENSCJPG00005012229
numida_meleagris ENSNMEG00000019962
apteryx_owenii ENSAOWG00000006100
apteryx_rowi ENSARWG00000007970
apteryx_haastii ENSAHAG00000012151
nothoprocta_perdicaria ENSNPEG00000014973
zonotrichia_albicollis ENSZALG00000013015
parus_major ENSPMJG00000011823
manacus_vitellinus ENSMVIG00005011139
melopsittacus_undulatus ENSMUNG00000004298
anser_brachyrhynchus ENSABRG00000012787
anas_platyrhynchos_platyrhynchos ENSAPLG00000028313
dromaius_novaehollandiae ENSDNVG00000016616
crocodylus_porosus ENSCPRG00005012116
chelonoidis_abingdonii ENSCABG00000015146
gopherus_agassizii ENSGAGG00000012767
chrysemys_picta_bellii ENSCPBG00000020060
pelodiscus_sinensis ENSPSIG00000012899
xenopus_tropicalis ENSXETG00000008620
latimeria_chalumnae ENSLACG00000019088
amphilophus_citrinellus ENSACIG00000015543
takifugu_rubripes ENSTRUG00000017845
gasterosteus_aculeatus ENSGACG00000010368
labrus_bergylta ENSLBEG00000028584
tetraodon_nigroviridis ENSTNIG00000017232
takifugu_rubripes ENSTRUG00000021995
scophthalmus_maximus ENSSMAG00000018551
cynoglossus_semilaevis ENSCSEG00000003196
seriola_lalandi_dorsalis ENSSLDG00000019221
seriola_dumerili ENSSDUG00000014717
mastacembelus_armatus ENSMAMG00000005562
anabas_testudineus ENSATEG00000010567
monopterus_albus ENSMALG00000016978
mola_mola ENSMMOG00000009942
amphiprion_percula ENSAPEG00000015711
amphiprion_ocellaris ENSAOCG00000002274
stegastes_partitus ENSSPAG00000020051
acanthochromis_polyacanthus ENSAPOG00000010837
amphilophus_citrinellus ENSACIG00000015552
fundulus_heteroclitus ENSFHEG00000019764
cyprinodon_variegatus ENSCVAG00000023175
xiphophorus_maculatus ENSXMAG00000000766
xiphophorus_couchianus ENSXCOG00000000558
gambusia_affinis ENSGAFG00000019672
poecilia_formosa ENSPFOG00000015550
poecilia_mexicana ENSPMEG00000003861
poecilia_latipinna ENSPLAG00000000985
poecilia_reticulata ENSPREG00000006960
oryzias_latipes_asm223469v1 ENSORLG00015015236
oryzias_latipes_asm223471v1 ENSORLG00020017231
oryzias_latipes_asm223467v1 ENSORLG00000013304
oryzias_melastigma ENSOMEG00000013785
astatotilapia_calliptera ENSACLG00000012203
maylandia_zebra ENSMZEG00005002117
pundamilia_nyererei ENSPNYG00000016376
haplochromis_burtoni ENSHBUG00000007542
neolamprologus_brichardi ENSNBRG00000023459
oreochromis_niloticus ENSONIG00000001366
kryptolebias_marmoratus ENSKMAG00000011597
hippocampus_comes ENSHCOG00000020798
hippocampus_comes ENSHCOG00000009191
periophthalmus_magnuspinnatus ENSPMGG00000015764
gadus_morhua ENSGMOG00000011206
esox_lucius ENSELUG00000007407
pygocentrus_nattereri ENSPNAG00000008552
astyanax_mexicanus ENSAMXG00000038238
ictalurus_punctatus ENSIPUG00000006124
danio_rerio ENSDARG00000019995
paramormyrops_kingsleyae ENSPKIG00000021967
scleropages_formosus ENSSFOG00015003744
scleropages_formosus ENSSFOG00015010355
lepisosteus_oculatus ENSLOCG00000012132
eptatretus_burgeri ENSEBUG00000009155
