cricetulus_griseus_crigri_1.0 ENSCGRG00000005058
cricetulus_griseus_crigri-picr ENSCGRG00015025414
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012923
mesocricetus_auratus ENSMAUG00000008481
microtus_ochrogaster ENSMOCG00000017710
peromyscus_maniculatus_bairdii ENSPEMG00000010310
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000053063
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029971
mus_spicilegus ENSMSIG00000030130
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028927
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022690
rattus_norvegicus ENSRNOG00000054860
meriones_unguiculatus ENSMUGG00000014348
nannospalax_galili ENSNGAG00000008578
jaculus_jaculus ENSJJAG00000020037
castor_canadensis ENSCCNG00000026478
chinchilla_lanigera ENSCLAG00000016917
cavia_porcellus ENSCPOG00000031505
fukomys_damarensis ENSFDAG00000021474
spermophilus_dauricus ENSSDAG00000020687
ictidomys_tridecemlineatus ENSSTOG00000009228
marmota_marmota_marmota ENSMMMG00000022345
oryctolagus_cuniculus ENSOCUG00000029128
saimiri_boliviensis_boliviensis ENSSBOG00000033102
cebus_capucinus_imitator ENSCCAG00000024674
callithrix_jacchus ENSCJAG00000021678
aotus_nancymaae ENSANAG00000026844
pan_troglodytes ENSPTRG00000039976
pan_paniscus ENSPPAG00000000670
gorilla_gorilla ENSGGOG00000043881
homo_sapiens ENSG00000172322
pongo_abelii ENSPPYG00000004262
nomascus_leucogenys ENSNLEG00000003074
piliocolobus_tephrosceles ENSPTEG00000008248
colobus_angolensis_palliatus ENSCANG00000032264
rhinopithecus_roxellana ENSRROG00000036117
rhinopithecus_bieti ENSRBIG00000040916
macaca_fascicularis ENSMFAG00000039803
macaca_mulatta ENSMMUG00000002956
macaca_nemestrina ENSMNEG00000001214
mandrillus_leucophaeus ENSMLEG00000037477
theropithecus_gelada ENSTGEG00000004027
papio_anubis ENSPANG00000005172
cercocebus_atys ENSCATG00000029805
chlorocebus_sabaeus ENSCSAG00000009246
carlito_syrichta ENSTSYG00000031877
prolemur_simus ENSPSMG00000004173
propithecus_coquereli ENSPCOG00000019308
microcebus_murinus ENSMICG00000044411
otolemur_garnettii ENSOGAG00000013721
tupaia_belangeri ENSTBEG00000015993
ursus_maritimus ENSUMAG00000016306
ursus_americanus ENSUAMG00000008206
ailuropoda_melanoleuca ENSAMEG00000003942
neovison_vison ENSNVIG00000010454
mustela_putorius_furo ENSMPUG00000006219
canis_lupus_familiaris ENSCAFG00000025113
canis_lupus_dingo ENSCAFG00020006168
vulpes_vulpes ENSVVUG00000005201
panthera_tigris_altaica ENSPTIG00000010127
panthera_pardus ENSPPRG00000013258
felis_catus ENSFCAG00000022006
myotis_lucifugus ENSMLUG00000013248
capra_hircus ENSCHIG00000002948
ovis_aries ENSOARG00000021026
bos_mutus ENSBMUG00000021006
bos_taurus ENSBTAG00000012815
bison_bison_bison ENSBBBG00000023416
sus_scrofa ENSSSCG00000039287
equus_caballus ENSECAG00000032794
equus_asinus_asinus ENSEASG00005014814
sorex_araneus ENSSARG00000011665
sorex_araneus ENSSARG00000010729
erinaceus_europaeus ENSEEUG00000002300
dasypus_novemcinctus ENSDNOG00000035200
calidris_pugnax ENSCPUG00000006962
calidris_pygmaea ENSCPGG00000001372
anas_platyrhynchos_platyrhynchos ENSAPLG00000026785
