bos_taurus ENSBTAG00000020051
bos_mutus ENSBMUG00000011707
ovis_aries ENSOARG00000018709
equus_caballus ENSECAG00000038478
equus_caballus ENSECAG00000038688
vulpes_vulpes ENSVVUG00000024108
canis_lupus_familiaris ENSCAFG00000030238
pan_paniscus ENSPPAG00000002730
pan_troglodytes ENSPTRG00000046595
gorilla_gorilla ENSGGOG00000040712
pongo_abelii ENSPPYG00000007209
nomascus_leucogenys ENSNLEG00000011726
theropithecus_gelada ENSTGEG00000017952
chlorocebus_sabaeus ENSCSAG00000018857
macaca_mulatta ENSMMUG00000042935
piliocolobus_tephrosceles ENSPTEG00000019880
cebus_capucinus_imitator ENSCCAG00000029004
dasypus_novemcinctus ENSDNOG00000035820
loxodonta_africana ENSLAFG00000029462
