poecilia_latipinna ENSPLAG00000006055
poecilia_mexicana ENSPMEG00000016135
poecilia_reticulata ENSPREG00000020260
xiphophorus_couchianus ENSXCOG00000009579
gambusia_affinis ENSGAFG00000009058
fundulus_heteroclitus ENSFHEG00000020322
cyprinodon_variegatus ENSCVAG00000020752
periophthalmus_magnuspinnatus ENSPMGG00000022887
mastacembelus_armatus ENSMAMG00000020439
takifugu_rubripes ENSTRUG00000022808
pundamilia_nyererei ENSPNYG00000019651
astatotilapia_calliptera ENSACLG00000017202
neolamprologus_brichardi ENSNBRG00000017709
amphilophus_citrinellus ENSACIG00000013499
oryzias_latipes_asm223471v1 ENSORLG00020018901
oryzias_latipes_asm223469v1 ENSORLG00015010689
oryzias_melastigma ENSOMEG00000008718
stegastes_partitus ENSSPAG00000004538
seriola_dumerili ENSSDUG00000009833
seriola_lalandi_dorsalis ENSSLDG00000012468
anabas_testudineus ENSATEG00000013489
hippocampus_comes ENSHCOG00000002751
pygocentrus_nattereri ENSPNAG00000015276
ictalurus_punctatus ENSIPUG00000018685
danio_rerio ENSDARG00000094074
