acanthochromis_polyacanthus ENSAPOG00000011628
stegastes_partitus ENSSPAG00000002283
amphiprion_percula ENSAPEG00000017852
amphiprion_ocellaris ENSAOCG00000014602
amphilophus_citrinellus ENSACIG00000018465
cyprinodon_variegatus ENSCVAG00000015003
fundulus_heteroclitus ENSFHEG00000011315
poecilia_mexicana ENSPMEG00000001733
poecilia_formosa ENSPFOG00000023717
xiphophorus_maculatus ENSXMAG00000022562
xiphophorus_couchianus ENSXCOG00000019788
poecilia_latipinna ENSPLAG00000003467
poecilia_reticulata ENSPREG00000013467
gambusia_affinis ENSGAFG00000013573
kryptolebias_marmoratus ENSKMAG00000014537
seriola_dumerili ENSSDUG00000016323
seriola_lalandi_dorsalis ENSSLDG00000025684
labrus_bergylta ENSLBEG00000001147
anabas_testudineus ENSATEG00000006377
mastacembelus_armatus ENSMAMG00000002184
