lonchura_striata_domestica ENSLSDG00000011473
taeniopygia_guttata ENSTGUG00000014825
manacus_vitellinus ENSMVIG00005010708
serinus_canaria ENSSCAG00000013348
ficedula_albicollis ENSFALG00000011216
parus_major ENSPMJG00000007501
calidris_pygmaea ENSCPGG00000013577
calidris_pugnax ENSCPUG00000017679
coturnix_japonica ENSCJPG00005011915
meleagris_gallopavo ENSMGAG00000014074
anser_brachyrhynchus ENSABRG00000007606
anas_platyrhynchos_platyrhynchos ENSAPLG00000006023
cyanistes_caeruleus ENSCCEG00000002186
melopsittacus_undulatus ENSMUNG00000006728
gallus_gallus ENSGALG00000016516
dromaius_novaehollandiae ENSDNVG00000001663
nothoprocta_perdicaria ENSNPEG00000015973
junco_hyemalis ENSJHYG00000010304
numida_meleagris ENSNMEG00000006968
numida_meleagris ENSNMEG00000006969
apteryx_owenii ENSAOWG00000010418
apteryx_haastii ENSAHAG00000007487
apteryx_rowi ENSARWG00000001922
crocodylus_porosus ENSCPRG00005004222
chelonoidis_abingdonii ENSCABG00000014602
gopherus_agassizii ENSGAGG00000018725
chrysemys_picta_bellii ENSCPBG00000026540
pelodiscus_sinensis ENSPSIG00000017116
anolis_carolinensis ENSACAG00000023340
notechis_scutatus ENSNSUG00000005593
salvator_merianae ENSSMRG00000013414
pogona_vitticeps ENSPVIG00000013252
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024202
cricetulus_griseus_crigri_1.0 ENSCGRG00000008676
cricetulus_griseus_crigri-picr ENSCGRG00015025617
mesocricetus_auratus ENSMAUG00000015103
microtus_ochrogaster ENSMOCG00000005895
peromyscus_maniculatus_bairdii ENSPEMG00000012846
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028080
mus_spicilegus ENSMSIG00000015779
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043059
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027085
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029296
rattus_norvegicus ENSRNOG00000005298
meriones_unguiculatus ENSMUGG00000027016
nannospalax_galili ENSNGAG00000011351
jaculus_jaculus ENSJJAG00000017371
dipodomys_ordii ENSDORG00000006783
castor_canadensis ENSCCNG00000003817
chinchilla_lanigera ENSCLAG00000011940
octodon_degus ENSODEG00000007011
cavia_porcellus ENSCPOG00000002437
cavia_aperea ENSCAPG00000002960
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007082
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005843
fukomys_damarensis ENSFDAG00000010037
marmota_marmota_marmota ENSMMMG00000020516
