prolemur_simus ENSPSMG00000005104
propithecus_coquereli ENSPCOG00000013575
microcebus_murinus ENSMICG00000032905
otolemur_garnettii ENSOGAG00000015258
saimiri_boliviensis_boliviensis ENSSBOG00000021688
cebus_capucinus_imitator ENSCCAG00000010338
callithrix_jacchus ENSCJAG00000020891
aotus_nancymaae ENSANAG00000025172
pan_troglodytes ENSPTRG00000023330
pan_paniscus ENSPPAG00000042187
homo_sapiens ENSG00000197705
gorilla_gorilla ENSGGOG00000025011
pongo_abelii ENSPPYG00000009097
nomascus_leucogenys ENSNLEG00000006376
cercocebus_atys ENSCATG00000000430
mandrillus_leucophaeus ENSMLEG00000038532
papio_anubis ENSPANG00000013400
theropithecus_gelada ENSTGEG00000019692
macaca_nemestrina ENSMNEG00000040763
macaca_fascicularis ENSMFAG00000043081
chlorocebus_sabaeus ENSCSAG00000017882
colobus_angolensis_palliatus ENSCANG00000031153
piliocolobus_tephrosceles ENSPTEG00000026894
rhinopithecus_roxellana ENSRROG00000045737
carlito_syrichta ENSTSYG00000000826
meriones_unguiculatus ENSMUGG00000012693
macaca_mulatta ENSMMUG00000008190
oryctolagus_cuniculus ENSOCUG00000008583
tupaia_belangeri ENSTBEG00000006465
castor_canadensis ENSCCNG00000016567
dipodomys_ordii ENSDORG00000027424
peromyscus_maniculatus_bairdii ENSPEMG00000010218
microtus_ochrogaster ENSMOCG00000012584
cricetulus_griseus_crigri-picr ENSCGRG00015022210
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016738
mesocricetus_auratus ENSMAUG00000021235
mus_spicilegus ENSMSIG00000023129
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022948
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000042514
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022037
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018771
rattus_norvegicus ENSRNOG00000015418
nannospalax_galili ENSNGAG00000002664
jaculus_jaculus ENSJJAG00000012993
chinchilla_lanigera ENSCLAG00000009031
octodon_degus ENSODEG00000018307
cavia_porcellus ENSCPOG00000000789
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003622
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008054
fukomys_damarensis ENSFDAG00000013596
ictidomys_tridecemlineatus ENSSTOG00000016263
spermophilus_dauricus ENSSDAG00000010022
urocitellus_parryii ENSUPAG00010012711
marmota_marmota_marmota ENSMMMG00000008231
canis_lupus_familiaris ENSCAFG00000018002
canis_lupus_dingo ENSCAFG00020011801
vulpes_vulpes ENSVVUG00000027477
mustela_putorius_furo ENSMPUG00000007086
neovison_vison ENSNVIG00000019779
ursus_americanus ENSUAMG00000012136
ailuropoda_melanoleuca ENSAMEG00000009881
ailuropoda_melanoleuca ENSAMEG00000014917
panthera_pardus ENSPPRG00000016302
panthera_tigris_altaica ENSPTIG00000014746
felis_catus ENSFCAG00000023585
myotis_lucifugus ENSMLUG00000001490
pteropus_vampyrus ENSPVAG00000000835
equus_caballus ENSECAG00000012922
equus_asinus_asinus ENSEASG00005016638
bos_taurus ENSBTAG00000020003
bos_mutus ENSBMUG00000015027
capra_hircus ENSCHIG00000000359
ovis_aries ENSOARG00000006008
tursiops_truncatus ENSTTRG00000007494
sus_scrofa ENSSSCG00000003733
vicugna_pacos ENSVPAG00000003450
sorex_araneus ENSSARG00000005305
erinaceus_europaeus ENSEEUG00000005508
dasypus_novemcinctus ENSDNOG00000046541
loxodonta_africana ENSLAFG00000016617
procavia_capensis ENSPCAG00000011007
notamacropus_eugenii ENSMEUG00000009552
phascolarctos_cinereus ENSPCIG00000006391
sarcophilus_harrisii ENSSHAG00000010132
monodelphis_domestica ENSMODG00000010808
ornithorhynchus_anatinus ENSOANG00000005612
dromaius_novaehollandiae ENSDNVG00000004837
nothoprocta_perdicaria ENSNPEG00000000386
apteryx_haastii ENSAHAG00000008660
apteryx_rowi ENSARWG00000018327
apteryx_owenii ENSAOWG00000002120
lonchura_striata_domestica ENSLSDG00000007814
serinus_canaria ENSSCAG00000012201
parus_major ENSPMJG00000014762
taeniopygia_guttata ENSTGUG00000010774
