mandrillus_leucophaeus ENSMLEG00000031061
cercocebus_atys ENSCATG00000041458
gorilla_gorilla ENSGGOG00000040198
callithrix_jacchus ENSCJAG00000000296
colobus_angolensis_palliatus ENSCANG00000040717
macaca_mulatta ENSMMUG00000048049
pan_paniscus ENSPPAG00000030769
pan_troglodytes ENSPTRG00000023178
gorilla_gorilla ENSGGOG00000012454
homo_sapiens ENSG00000189169
pongo_abelii ENSPPYG00000011501
nomascus_leucogenys ENSNLEG00000031883
pan_troglodytes ENSPTRG00000040577
callithrix_jacchus ENSCJAG00000000301
cebus_capucinus_imitator ENSCCAG00000021834
gorilla_gorilla ENSGGOG00000007320
homo_sapiens ENSG00000187766
pan_troglodytes ENSPTRG00000051377
pongo_abelii ENSPPYG00000011494
rhinopithecus_roxellana ENSRROG00000030367
piliocolobus_tephrosceles ENSPTEG00000010992
theropithecus_gelada ENSTGEG00000018985
cercocebus_atys ENSCATG00000040413
macaca_nemestrina ENSMNEG00000038464
chlorocebus_sabaeus ENSCSAG00000007546
cebus_capucinus_imitator ENSCCAG00000035912
callithrix_jacchus ENSCJAG00000047635
macaca_mulatta ENSMMUG00000044317
rhinopithecus_bieti ENSRBIG00000029279
rhinopithecus_roxellana ENSRROG00000029893
homo_sapiens ENSG00000205445
pan_troglodytes ENSPTRG00000013982
nomascus_leucogenys ENSNLEG00000027209
propithecus_coquereli ENSPCOG00000013309
propithecus_coquereli ENSPCOG00000017762
prolemur_simus ENSPSMG00000001983
prolemur_simus ENSPSMG00000002079
carlito_syrichta ENSTSYG00000035250
carlito_syrichta ENSTSYG00000019486
propithecus_coquereli ENSPCOG00000020643
tupaia_belangeri ENSTBEG00000017163
spermophilus_dauricus ENSSDAG00000013796
spermophilus_dauricus ENSSDAG00000023254
marmota_marmota_marmota ENSMMMG00000012640
chinchilla_lanigera ENSCLAG00000007645
chinchilla_lanigera ENSCLAG00000005246
chinchilla_lanigera ENSCLAG00000000223
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008823
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012579
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005505
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010222
pteropus_vampyrus ENSPVAG00000000843
pteropus_vampyrus ENSPVAG00000024190
pteropus_vampyrus ENSPVAG00000000842
sus_scrofa ENSSSCG00000032780
equus_caballus ENSECAG00000029396
equus_caballus ENSECAG00000013023
equus_caballus ENSECAG00000007982
procavia_capensis ENSPCAG00000007920
phascolarctos_cinereus ENSPCIG00000024198
