mus_musculus_strain_reference_cl57bl6 ENSMUSG00000091060
mus_spicilegus ENSMSIG00000023369
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015581
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014774
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028011
meriones_unguiculatus ENSMUGG00000014676
cricetulus_griseus_crigri_1.0 ENSCGRG00000003690
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024195
cricetulus_griseus_crigri-picr ENSCGRG00015011203
mesocricetus_auratus ENSMAUG00000009383
microtus_ochrogaster ENSMOCG00000013431
jaculus_jaculus ENSJJAG00000000508
