octodon_degus ENSODEG00000009018
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007933
chinchilla_lanigera ENSCLAG00000008044
cavia_porcellus ENSCPOG00000024186
ovis_aries ENSOARG00000001797
capra_hircus ENSCHIG00000019241
bos_taurus ENSBTAG00000036154
bos_mutus ENSBMUG00000013270
bison_bison_bison ENSBBBG00000024408
ailuropoda_melanoleuca ENSAMEG00000001440
ursus_maritimus ENSUMAG00000011085
canis_lupus_dingo ENSCAFG00020023317
vulpes_vulpes ENSVVUG00000005411
capra_hircus ENSCHIG00000012425
ovis_aries ENSOARG00000009188
felis_catus ENSFCAG00000039973
apteryx_rowi ENSARWG00000000351
apteryx_owenii ENSAOWG00000009035
crocodylus_porosus ENSCPRG00005010990
lepisosteus_oculatus ENSLOCG00000018133
crocodylus_porosus ENSCPRG00005010971
crocodylus_porosus ENSCPRG00005011006
ursus_americanus ENSUAMG00000015714
ailuropoda_melanoleuca ENSAMEG00000014283
sarcophilus_harrisii ENSSHAG00000001373
latimeria_chalumnae ENSLACG00000006623
latimeria_chalumnae ENSLACG00000000669
latimeria_chalumnae ENSLACG00000001778
pan_paniscus ENSPPAG00000018407
pan_troglodytes ENSPTRG00000050971
equus_caballus ENSECAG00000029707
equus_caballus ENSECAG00000034967
lepisosteus_oculatus ENSLOCG00000011411
lepisosteus_oculatus ENSLOCG00000011369
dasypus_novemcinctus ENSDNOG00000039893
dasypus_novemcinctus ENSDNOG00000040802
dasypus_novemcinctus ENSDNOG00000048520
dasypus_novemcinctus ENSDNOG00000048888
pan_troglodytes ENSPTRG00000050581
pan_paniscus ENSPPAG00000014233
otolemur_garnettii ENSOGAG00000009919
ovis_aries ENSOARG00000017898
latimeria_chalumnae ENSLACG00000001175
latimeria_chalumnae ENSLACG00000006697
pan_troglodytes ENSPTRG00000046914
oryctolagus_cuniculus ENSOCUG00000022391
equus_caballus ENSECAG00000018252
latimeria_chalumnae ENSLACG00000000116
lepisosteus_oculatus ENSLOCG00000011394
dasypus_novemcinctus ENSDNOG00000046537
dasypus_novemcinctus ENSDNOG00000036977
dasypus_novemcinctus ENSDNOG00000038855
equus_caballus ENSECAG00000030044
erinaceus_europaeus ENSEEUG00000002365
mustela_putorius_furo ENSMPUG00000018220
mustela_putorius_furo ENSMPUG00000018226
mustela_putorius_furo ENSMPUG00000018222
mustela_putorius_furo ENSMPUG00000018221
mustela_putorius_furo ENSMPUG00000018223
mustela_putorius_furo ENSMPUG00000018219
chlorocebus_sabaeus ENSCSAG00000015150
gorilla_gorilla ENSGGOG00000042829
tupaia_belangeri ENSTBEG00000017717
latimeria_chalumnae ENSLACG00000001158
lepisosteus_oculatus ENSLOCG00000011384
equus_caballus ENSECAG00000019999
equus_asinus_asinus ENSEASG00005017568
canis_lupus_familiaris ENSCAFG00000032048
microcebus_murinus ENSMICG00000029905
theropithecus_gelada ENSTGEG00000015031
neovison_vison ENSNVIG00000004760
equus_caballus ENSECAG00000037575
ursus_maritimus ENSUMAG00000011093
equus_caballus ENSECAG00000033993
urocitellus_parryii ENSUPAG00010002063
nannospalax_galili ENSNGAG00000013709
otolemur_garnettii ENSOGAG00000026591
macaca_mulatta ENSMMUG00000020920
pongo_abelii ENSPPYG00000017624
ursus_maritimus ENSUMAG00000011092
neovison_vison ENSNVIG00000024493
cercocebus_atys ENSCATG00000021274
microcebus_murinus ENSMICG00000044287
fukomys_damarensis ENSFDAG00000018116
canis_lupus_familiaris ENSCAFG00000025443
equus_asinus_asinus ENSEASG00005017576
equus_caballus ENSECAG00000030466
felis_catus ENSFCAG00000035027
equus_caballus ENSECAG00000040015
equus_caballus ENSECAG00000039378
panthera_tigris_altaica ENSPTIG00000015164
canis_lupus_dingo ENSCAFG00020023314
equus_asinus_asinus ENSEASG00005017569
sus_scrofa ENSSSCG00000023584
marmota_marmota_marmota ENSMMMG00000011859
marmota_marmota_marmota ENSMMMG00000011826
marmota_marmota_marmota ENSMMMG00000011878
urocitellus_parryii ENSUPAG00010002019
spermophilus_dauricus ENSSDAG00000010063
rattus_norvegicus ENSRNOG00000055197
papio_anubis ENSPANG00000035827
macaca_nemestrina ENSMNEG00000037726
mandrillus_leucophaeus ENSMLEG00000018415
carlito_syrichta ENSTSYG00000034284
prolemur_simus ENSPSMG00000003926
propithecus_coquereli ENSPCOG00000000484
felis_catus ENSFCAG00000023786
equus_caballus ENSECAG00000032433
panthera_tigris_altaica ENSPTIG00000011171
canis_lupus_dingo ENSCAFG00020023281
bison_bison_bison ENSBBBG00000007259
equus_caballus ENSECAG00000040299
equus_asinus_asinus ENSEASG00005017573
vulpes_vulpes ENSVVUG00000017134
mustela_putorius_furo ENSMPUG00000018231
ursus_maritimus ENSUMAG00000011076
ursus_americanus ENSUAMG00000012281
ursus_americanus ENSUAMG00000007837
ailuropoda_melanoleuca ENSAMEG00000014285
ailuropoda_melanoleuca ENSAMEG00000008550
vulpes_vulpes ENSVVUG00000017109
equus_caballus ENSECAG00000036132
bos_mutus ENSBMUG00000004688
felis_catus ENSFCAG00000032420
equus_caballus ENSECAG00000038063
equus_asinus_asinus ENSEASG00005017577
equus_asinus_asinus ENSEASG00005017574
equus_caballus ENSECAG00000037339
panthera_pardus ENSPPRG00000010408
bos_taurus ENSBTAG00000002859
dasypus_novemcinctus ENSDNOG00000035272
monodelphis_domestica ENSMODG00000012605
ornithorhynchus_anatinus ENSOANG00000028705
homo_sapiens ENSG00000211699
oryctolagus_cuniculus ENSOCUG00000025628
ailuropoda_melanoleuca ENSAMEG00000018856
ornithorhynchus_anatinus ENSOANG00000021250
panthera_tigris_altaica ENSPTIG00000011074
neovison_vison ENSNVIG00000004478
equus_caballus ENSECAG00000037799
capra_hircus ENSCHIG00000007301
piliocolobus_tephrosceles ENSPTEG00000004999
piliocolobus_tephrosceles ENSPTEG00000004922
rhinopithecus_bieti ENSRBIG00000018810
homo_sapiens ENSG00000211695
oryctolagus_cuniculus ENSOCUG00000021471
otolemur_garnettii ENSOGAG00000026103
otolemur_garnettii ENSOGAG00000025512
otolemur_garnettii ENSOGAG00000033801
chlorocebus_sabaeus ENSCSAG00000015141
chlorocebus_sabaeus ENSCSAG00000015134
papio_anubis ENSPANG00000013675
papio_anubis ENSPANG00000031621
nomascus_leucogenys ENSNLEG00000030425
myotis_lucifugus ENSMLUG00000023123
bos_mutus ENSBMUG00000004644
ursus_americanus ENSUAMG00000007842
dasypus_novemcinctus ENSDNOG00000048786
dasypus_novemcinctus ENSDNOG00000046288
ornithorhynchus_anatinus ENSOANG00000029497
nothoprocta_perdicaria ENSNPEG00000013202
macaca_fascicularis ENSMFAG00000030138
macaca_fascicularis ENSMFAG00000030135
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002331
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002203
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0002039
oryctolagus_cuniculus ENSOCUG00000027512
bos_taurus ENSBTAG00000053474
ornithorhynchus_anatinus ENSOANG00000021249
dromaius_novaehollandiae ENSDNVG00000008143
gallus_gallus ENSGALG00000045639
coturnix_japonica ENSCJPG00005006434
chrysemys_picta_bellii ENSCPBG00000024932
ovis_aries ENSOARG00000017923
ovis_aries ENSOARG00000017860
bos_taurus ENSBTAG00000049399
ursus_maritimus ENSUMAG00000011095
ailuropoda_melanoleuca ENSAMEG00000018862
meriones_unguiculatus ENSMUGG00000015326
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002204
rhinopithecus_roxellana ENSRROG00000037081
piliocolobus_tephrosceles ENSPTEG00000005090
chlorocebus_sabaeus ENSCSAG00000015152
homo_sapiens ENSG00000211701
homo_sapiens ENSG00000211696
homo_sapiens ENSG00000211693
tupaia_belangeri ENSTBEG00000016692
monodelphis_domestica ENSMODG00000024089
latimeria_chalumnae ENSLACG00000000671
pygocentrus_nattereri ENSPNAG00000025823
sarcophilus_harrisii ENSSHAG00000003143
phascolarctos_cinereus ENSPCIG00000031115
cercocebus_atys ENSCATG00000018935
cercocebus_atys ENSCATG00000021442
panthera_pardus ENSPPRG00000011849
panthera_tigris_altaica ENSPTIG00000010636
ailuropoda_melanoleuca ENSAMEG00000008190
equus_asinus_asinus ENSEASG00005017579
castor_canadensis ENSCCNG00000029269
chinchilla_lanigera ENSCLAG00000008127
cricetulus_griseus_crigri-picr ENSCGRG00015008700
urocitellus_parryii ENSUPAG00010002054
pan_troglodytes ENSPTRG00000043269
chinchilla_lanigera ENSCLAG00000007481
dipodomys_ordii ENSDORG00000029771
meriones_unguiculatus ENSMUGG00000015299
marmota_marmota_marmota ENSMMMG00000011841
pan_paniscus ENSPPAG00000010118
pan_paniscus ENSPPAG00000016411
macaca_mulatta ENSMMUG00000038528
callithrix_jacchus ENSCJAG00000012635
callithrix_jacchus ENSCJAG00000044374
tupaia_belangeri ENSTBEG00000011653
