meleagris_gallopavo ENSMGAG00000010991
gallus_gallus ENSGALG00000037129
numida_meleagris ENSNMEG00000005946
lepidothrix_coronata ENSLCOG00000003998
parus_major ENSPMJG00000010249
cyanistes_caeruleus ENSCCEG00000011892
ficedula_albicollis ENSFALG00000006495
junco_hyemalis ENSJHYG00000006144
zonotrichia_albicollis ENSZALG00000004678
taeniopygia_guttata ENSTGUG00000004287
lonchura_striata_domestica ENSLSDG00000005114
serinus_canaria ENSSCAG00000012598
anser_brachyrhynchus ENSABRG00000017961
anas_platyrhynchos_platyrhynchos ENSAPLG00000014046
calidris_pugnax ENSCPUG00000016411
calidris_pygmaea ENSCPGG00000008272
coturnix_japonica ENSCJPG00005006796
melopsittacus_undulatus ENSMUNG00000002030
manacus_vitellinus ENSMVIG00005015187
apteryx_owenii ENSAOWG00000005222
apteryx_haastii ENSAHAG00000009763
nothoprocta_perdicaria ENSNPEG00000000944
dromaius_novaehollandiae ENSDNVG00000008860
crocodylus_porosus ENSCPRG00005005278
gopherus_agassizii ENSGAGG00000010914
chelonoidis_abingdonii ENSCABG00000004045
chrysemys_picta_bellii ENSCPBG00000004755
pelodiscus_sinensis ENSPSIG00000001561
pogona_vitticeps ENSPVIG00000002929
anolis_carolinensis ENSACAG00000024372
notechis_scutatus ENSNSUG00000003912
salvator_merianae ENSSMRG00000014689
sphenodon_punctatus ENSSPUG00000017355
callithrix_jacchus ENSCJAG00000038520
cebus_capucinus_imitator ENSCCAG00000018991
saimiri_boliviensis_boliviensis ENSSBOG00000016491
aotus_nancymaae ENSANAG00000028321
gorilla_gorilla ENSGGOG00000023800
homo_sapiens ENSG00000174749
pan_paniscus ENSPPAG00000006440
pan_troglodytes ENSPTRG00000016372
nomascus_leucogenys ENSNLEG00000016462
macaca_mulatta ENSMMUG00000044260
macaca_fascicularis ENSMFAG00000000675
macaca_nemestrina ENSMNEG00000036860
chlorocebus_sabaeus ENSCSAG00000003838
mandrillus_leucophaeus ENSMLEG00000001007
mandrillus_leucophaeus ENSMLEG00000000790
theropithecus_gelada ENSTGEG00000003455
cercocebus_atys ENSCATG00000015786
papio_anubis ENSPANG00000024713
rhinopithecus_bieti ENSRBIG00000036757
rhinopithecus_roxellana ENSRROG00000043155
colobus_angolensis_palliatus ENSCANG00000003912
piliocolobus_tephrosceles ENSPTEG00000031786
carlito_syrichta ENSTSYG00000005661
prolemur_simus ENSPSMG00000025492
microcebus_murinus ENSMICG00000048071
propithecus_coquereli ENSPCOG00000015336
otolemur_garnettii ENSOGAG00000008435
bos_mutus ENSBMUG00000021799
bos_taurus ENSBTAG00000017375
bison_bison_bison ENSBBBG00000008246
