colobus_angolensis_palliatus ENSCANG00000037078
piliocolobus_tephrosceles ENSPTEG00000032677
rhinopithecus_bieti ENSRBIG00000032460
rhinopithecus_bieti ENSRBIG00000042769
rhinopithecus_roxellana ENSRROG00000040663
papio_anubis ENSPANG00000032119
papio_anubis ENSPANG00000030626
mandrillus_leucophaeus ENSMLEG00000041747
mandrillus_leucophaeus ENSMLEG00000030116
cercocebus_atys ENSCATG00000043468
macaca_mulatta ENSMMUG00000041291
nomascus_leucogenys ENSNLEG00000028455
nomascus_leucogenys ENSNLEG00000030402
