panthera_tigris_altaica ENSPTIG00000010567
felis_catus ENSFCAG00000045484
vulpes_vulpes ENSVVUG00000021298
bos_mutus ENSBMUG00000025272
bison_bison_bison ENSBBBG00000010037
ovis_aries ENSOARG00000004408
propithecus_coquereli ENSPCOG00000015672
prolemur_simus ENSPSMG00000009667
microcebus_murinus ENSMICG00000043335
saimiri_boliviensis_boliviensis ENSSBOG00000032171
callithrix_jacchus ENSCJAG00000043278
cebus_capucinus_imitator ENSCCAG00000030766
aotus_nancymaae ENSANAG00000026951
homo_sapiens ENSG00000248109
gorilla_gorilla ENSGGOG00000041755
pan_troglodytes ENSPTRG00000051181
nomascus_leucogenys ENSNLEG00000031931
macaca_nemestrina ENSMNEG00000033533
mandrillus_leucophaeus ENSMLEG00000006870
macaca_fascicularis ENSMFAG00000038680
theropithecus_gelada ENSTGEG00000028353
cercocebus_atys ENSCATG00000041443
papio_anubis ENSPANG00000034357
rhinopithecus_bieti ENSRBIG00000044146
rhinopithecus_roxellana ENSRROG00000027352
piliocolobus_tephrosceles ENSPTEG00000022437
colobus_angolensis_palliatus ENSCANG00000040095
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012901
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006214
fukomys_damarensis ENSFDAG00000021395
octodon_degus ENSODEG00000005177
cavia_porcellus ENSCPOG00000032360
dipodomys_ordii ENSDORG00000026147
mus_spicilegus ENSMSIG00000023990
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000110628
meriones_unguiculatus ENSMUGG00000003250
cricetulus_griseus_crigri_1.0 ENSCGRG00000000082
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013328
mesocricetus_auratus ENSMAUG00000016122
microtus_ochrogaster ENSMOCG00000014585
nannospalax_galili ENSNGAG00000020325
marmota_marmota_marmota ENSMMMG00000018975
ictidomys_tridecemlineatus ENSSTOG00000033221
urocitellus_parryii ENSUPAG00010013054
spermophilus_dauricus ENSSDAG00000017902
equus_caballus ENSECAG00000032400
mustela_putorius_furo ENSMPUG00000007707
dasypus_novemcinctus ENSDNOG00000033073
