macaca_mulatta ENSMMUG00000009302
macaca_nemestrina ENSMNEG00000030762
macaca_fascicularis ENSMFAG00000035517
mandrillus_leucophaeus ENSMLEG00000033558
mandrillus_leucophaeus ENSMLEG00000035493
papio_anubis ENSPANG00000014632
theropithecus_gelada ENSTGEG00000002875
cercocebus_atys ENSCATG00000003132
rhinopithecus_bieti ENSRBIG00000028811
rhinopithecus_roxellana ENSRROG00000031057
colobus_angolensis_palliatus ENSCANG00000006758
pan_paniscus ENSPPAG00000003072
pan_troglodytes ENSPTRG00000005317
nomascus_leucogenys ENSNLEG00000005835
piliocolobus_tephrosceles ENSPTEG00000014281
otolemur_garnettii ENSOGAG00000014320
marmota_marmota_marmota ENSMMMG00000023903
cricetulus_griseus_crigri-picr ENSCGRG00015009609
felis_catus ENSFCAG00000032773
felis_catus ENSFCAG00000037511
panthera_pardus ENSPPRG00000020147
vulpes_vulpes ENSVVUG00000003155
canis_lupus_dingo ENSCAFG00020014539
capra_hircus ENSCHIG00000017139
sus_scrofa ENSSSCG00000035004
peromyscus_maniculatus_bairdii ENSPEMG00000025585
phascolarctos_cinereus ENSPCIG00000017205
gopherus_agassizii ENSGAGG00000014834
chelonoidis_abingdonii ENSCABG00000020686
chrysemys_picta_bellii ENSCPBG00000001948
dromaius_novaehollandiae ENSDNVG00000011463
lepidothrix_coronata ENSLCOG00000008147
crocodylus_porosus ENSCPRG00005019105
poecilia_formosa ENSPFOG00000020883
haplochromis_burtoni ENSHBUG00000008160
hippocampus_comes ENSHCOG00000010425
