capra_hircus ENSCHIG00000017306
ovis_aries ENSOARG00000015608
bos_taurus ENSBTAG00000020078
bos_mutus ENSBMUG00000007430
bison_bison_bison ENSBBBG00000006669
vicugna_pacos ENSVPAG00000006348
sus_scrofa ENSSSCG00000017458
ursus_maritimus ENSUMAG00000018147
ursus_americanus ENSUAMG00000012456
ailuropoda_melanoleuca ENSAMEG00000008358
canis_lupus_familiaris ENSCAFG00000023275
canis_lupus_dingo ENSCAFG00020018562
vulpes_vulpes ENSVVUG00000024305
neovison_vison ENSNVIG00000001654
panthera_tigris_altaica ENSPTIG00000009611
panthera_pardus ENSPPRG00000022347
felis_catus ENSFCAG00000002023
felis_catus ENSFCAG00000040817
pteropus_vampyrus ENSPVAG00000001643
myotis_lucifugus ENSMLUG00000003103
equus_caballus ENSECAG00000012849
equus_asinus_asinus ENSEASG00005003716
sorex_araneus ENSSARG00000002690
castor_canadensis ENSCCNG00000022915
dipodomys_ordii ENSDORG00000008898
chinchilla_lanigera ENSCLAG00000013824
octodon_degus ENSODEG00000017870
cavia_porcellus ENSCPOG00000011033
cavia_aperea ENSCAPG00000007974
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002999
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009907
fukomys_damarensis ENSFDAG00000018455
peromyscus_maniculatus_bairdii ENSPEMG00000013051
microtus_ochrogaster ENSMOCG00000018914
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019993
cricetulus_griseus_crigri-picr ENSCGRG00015004480
mesocricetus_auratus ENSMAUG00000011575
mus_spicilegus ENSMSIG00000025878
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017964
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017120
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000064165
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018249
rattus_norvegicus ENSRNOG00000031422
nannospalax_galili ENSNGAG00000017057
jaculus_jaculus ENSJJAG00000021955
spermophilus_dauricus ENSSDAG00000007242
marmota_marmota_marmota ENSMMMG00000007199
urocitellus_parryii ENSUPAG00010008539
ictidomys_tridecemlineatus ENSSTOG00000013190
oryctolagus_cuniculus ENSOCUG00000015593
ochotona_princeps ENSOPRG00000009574
pan_paniscus ENSPPAG00000041593
pan_troglodytes ENSPTRG00000023017
homo_sapiens ENSG00000196859
gorilla_gorilla ENSGGOG00000017063
pongo_abelii ENSPPYG00000008446
nomascus_leucogenys ENSNLEG00000002318
macaca_mulatta ENSMMUG00000001510
macaca_fascicularis ENSMFAG00000033201
macaca_nemestrina ENSMNEG00000045305
cercocebus_atys ENSCATG00000036783
mandrillus_leucophaeus ENSMLEG00000037917
theropithecus_gelada ENSTGEG00000007357
papio_anubis ENSPANG00000021566
chlorocebus_sabaeus ENSCSAG00000002844
piliocolobus_tephrosceles ENSPTEG00000012067
colobus_angolensis_palliatus ENSCANG00000034064
rhinopithecus_bieti ENSRBIG00000031920
rhinopithecus_roxellana ENSRROG00000031686
cebus_capucinus_imitator ENSCCAG00000029088
saimiri_boliviensis_boliviensis ENSSBOG00000023156
callithrix_jacchus ENSCJAG00000013697
aotus_nancymaae ENSANAG00000037576
carlito_syrichta ENSTSYG00000008675
prolemur_simus ENSPSMG00000010491
microcebus_murinus ENSMICG00000009899
propithecus_coquereli ENSPCOG00000024190
otolemur_garnettii ENSOGAG00000003083
tupaia_belangeri ENSTBEG00000010474
loxodonta_africana ENSLAFG00000007407
procavia_capensis ENSPCAG00000001283
echinops_telfairi ENSETEG00000006419
choloepus_hoffmanni ENSCHOG00000010134
dasypus_novemcinctus ENSDNOG00000019941
