sus_scrofa ENSSSCG00000039334
felis_catus ENSFCAG00000043677
prolemur_simus ENSPSMG00000003920
prolemur_simus ENSPSMG00000006384
macaca_fascicularis ENSMFAG00000021753
macaca_nemestrina ENSMNEG00000007466
theropithecus_gelada ENSTGEG00000026387
papio_anubis ENSPANG00000029819
cercocebus_atys ENSCATG00000002864
mandrillus_leucophaeus ENSMLEG00000021181
rhinopithecus_bieti ENSRBIG00000026798
rhinopithecus_roxellana ENSRROG00000018678
colobus_angolensis_palliatus ENSCANG00000037791
piliocolobus_tephrosceles ENSPTEG00000024680
pan_paniscus ENSPPAG00000031956
pan_troglodytes ENSPTRG00000048043
saimiri_boliviensis_boliviensis ENSSBOG00000024044
