oryzias_latipes_asm223469v1 ENSORLG00015014071
oryzias_latipes_asm223471v1 ENSORLG00020018496
oryzias_latipes_asm223467v1 ENSORLG00000024219
poecilia_latipinna ENSPLAG00000015200
poecilia_mexicana ENSPMEG00000008777
xiphophorus_couchianus ENSXCOG00000008326
xiphophorus_maculatus ENSXMAG00000023279
gambusia_affinis ENSGAFG00000018181
fundulus_heteroclitus ENSFHEG00000012266
cyprinodon_variegatus ENSCVAG00000015613
maylandia_zebra ENSMZEG00005020859
haplochromis_burtoni ENSHBUG00000007481
astatotilapia_calliptera ENSACLG00000019492
neolamprologus_brichardi ENSNBRG00000006204
pundamilia_nyererei ENSPNYG00000013084
labrus_bergylta ENSLBEG00000023983
amphilophus_citrinellus ENSACIG00000001323
kryptolebias_marmoratus ENSKMAG00000014444
seriola_lalandi_dorsalis ENSSLDG00000023743
seriola_dumerili ENSSDUG00000002519
periophthalmus_magnuspinnatus ENSPMGG00000021043
amphiprion_percula ENSAPEG00000017721
amphiprion_ocellaris ENSAOCG00000015016
acanthochromis_polyacanthus ENSAPOG00000001354
stegastes_partitus ENSSPAG00000017590
mastacembelus_armatus ENSMAMG00000012761
monopterus_albus ENSMALG00000014766
mola_mola ENSMMOG00000005961
scleropages_formosus ENSSFOG00015009204
paramormyrops_kingsleyae ENSPKIG00000013628
