sarcophilus_harrisii ENSSHAG00000000188
monodelphis_domestica ENSMODG00000011144
phascolarctos_cinereus ENSPCIG00000008588
notamacropus_eugenii ENSMEUG00000011881
monodelphis_domestica ENSMODG00000003088
castor_canadensis ENSCCNG00000006844
dipodomys_ordii ENSDORG00000013135
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070738
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015189
mus_spicilegus ENSMSIG00000032219
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014387
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027624
rattus_norvegicus ENSRNOG00000023238
meriones_unguiculatus ENSMUGG00000021570
cricetulus_griseus_crigri-picr ENSCGRG00015011956
cricetulus_griseus_crigri_1.0 ENSCGRG00000010187
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024793
mesocricetus_auratus ENSMAUG00000013820
peromyscus_maniculatus_bairdii ENSPEMG00000009119
microtus_ochrogaster ENSMOCG00000013358
nannospalax_galili ENSNGAG00000006417
jaculus_jaculus ENSJJAG00000017454
urocitellus_parryii ENSUPAG00010010686
spermophilus_dauricus ENSSDAG00000002766
ictidomys_tridecemlineatus ENSSTOG00000011312
marmota_marmota_marmota ENSMMMG00000003046
chinchilla_lanigera ENSCLAG00000011641
octodon_degus ENSODEG00000008384
cavia_porcellus ENSCPOG00000009544
cavia_aperea ENSCAPG00000013596
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007333
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015984
fukomys_damarensis ENSFDAG00000006436
oryctolagus_cuniculus ENSOCUG00000001873
ochotona_princeps ENSOPRG00000011886
pan_paniscus ENSPPAG00000044113
pan_troglodytes ENSPTRG00000013053
homo_sapiens ENSG00000077044
gorilla_gorilla ENSGGOG00000000308
pongo_abelii ENSPPYG00000013291
nomascus_leucogenys ENSNLEG00000008355
papio_anubis ENSPANG00000017057
theropithecus_gelada ENSTGEG00000020637
mandrillus_leucophaeus ENSMLEG00000043481
cercocebus_atys ENSCATG00000040893
macaca_fascicularis ENSMFAG00000002861
macaca_mulatta ENSMMUG00000005646
macaca_nemestrina ENSMNEG00000044349
chlorocebus_sabaeus ENSCSAG00000006335
colobus_angolensis_palliatus ENSCANG00000034514
piliocolobus_tephrosceles ENSPTEG00000032163
rhinopithecus_bieti ENSRBIG00000028481
rhinopithecus_roxellana ENSRROG00000043324
saimiri_boliviensis_boliviensis ENSSBOG00000032101
cebus_capucinus_imitator ENSCCAG00000031333
callithrix_jacchus ENSCJAG00000014047
aotus_nancymaae ENSANAG00000033065
carlito_syrichta ENSTSYG00000011838
propithecus_coquereli ENSPCOG00000013926
microcebus_murinus ENSMICG00000010285
prolemur_simus ENSPSMG00000025922
otolemur_garnettii ENSOGAG00000009138
tupaia_belangeri ENSTBEG00000002577
myotis_lucifugus ENSMLUG00000017404
pteropus_vampyrus ENSPVAG00000007928
ursus_americanus ENSUAMG00000017067
ursus_maritimus ENSUMAG00000013632
ailuropoda_melanoleuca ENSAMEG00000016226
neovison_vison ENSNVIG00000005206
mustela_putorius_furo ENSMPUG00000005522
canis_lupus_familiaris ENSCAFG00000011816
canis_lupus_dingo ENSCAFG00020023838
vulpes_vulpes ENSVVUG00000025429
panthera_pardus ENSPPRG00000022746
panthera_tigris_altaica ENSPTIG00000000304
felis_catus ENSFCAG00000002072
capra_hircus ENSCHIG00000025662
ovis_aries ENSOARG00000019293
bos_mutus ENSBMUG00000025063
bos_taurus ENSBTAG00000020616
bison_bison_bison ENSBBBG00000020287
tursiops_truncatus ENSTTRG00000004354
sus_scrofa ENSSSCG00000009432
equus_asinus_asinus ENSEASG00005019899
equus_caballus ENSECAG00000016916
erinaceus_europaeus ENSEEUG00000003518
dasypus_novemcinctus ENSDNOG00000012959
loxodonta_africana ENSLAFG00000010928
procavia_capensis ENSPCAG00000012236
ornithorhynchus_anatinus ENSOANG00000019799
ornithorhynchus_anatinus ENSOANG00000010944
lonchura_striata_domestica ENSLSDG00000006095
taeniopygia_guttata ENSTGUG00000007464
serinus_canaria ENSSCAG00000003157
junco_hyemalis ENSJHYG00000016494
zonotrichia_albicollis ENSZALG00000011403
ficedula_albicollis ENSFALG00000013560
cyanistes_caeruleus ENSCCEG00000019789
parus_major ENSPMJG00000017102
lepidothrix_coronata ENSLCOG00000007623
manacus_vitellinus ENSMVIG00005015311
calidris_pygmaea ENSCPGG00000010629
calidris_pugnax ENSCPUG00000018845
melopsittacus_undulatus ENSMUNG00000003352
anser_brachyrhynchus ENSABRG00000002845
anas_platyrhynchos_platyrhynchos ENSAPLG00000012041
gallus_gallus ENSGALG00000001730
meleagris_gallopavo ENSMGAG00000001549
coturnix_japonica ENSCJPG00005016296
numida_meleagris ENSNMEG00000015936
apteryx_owenii ENSAOWG00000011185
apteryx_haastii ENSAHAG00000015843
apteryx_rowi ENSARWG00000002581
nothoprocta_perdicaria ENSNPEG00000013049
dromaius_novaehollandiae ENSDNVG00000018539
crocodylus_porosus ENSCPRG00005008632
gopherus_agassizii ENSGAGG00000001299
chelonoidis_abingdonii ENSCABG00000018227
chrysemys_picta_bellii ENSCPBG00000017516
pelodiscus_sinensis ENSPSIG00000003268
pogona_vitticeps ENSPVIG00000023954
anolis_carolinensis ENSACAG00000005773
notechis_scutatus ENSNSUG00000012016
salvator_merianae ENSSMRG00000021997
sphenodon_punctatus ENSSPUG00000014670
manacus_vitellinus ENSMVIG00005015552
astyanax_mexicanus ENSAMXG00000002933
pygocentrus_nattereri ENSPNAG00000014511
ictalurus_punctatus ENSIPUG00000001794
esox_lucius ENSELUG00000007610
labrus_bergylta ENSLBEG00000013981
hippocampus_comes ENSHCOG00000006714
amphilophus_citrinellus ENSACIG00000007048
amphilophus_citrinellus ENSACIG00000007085
haplochromis_burtoni ENSHBUG00000016587
scophthalmus_maximus ENSSMAG00000005021
scophthalmus_maximus ENSSMAG00000005056
amphilophus_citrinellus ENSACIG00000007033
neolamprologus_brichardi ENSNBRG00000008555
oryzias_latipes_asm223469v1 ENSORLG00015002677
poecilia_mexicana ENSPMEG00000000700
poecilia_formosa ENSPFOG00000006883
poecilia_reticulata ENSPREG00000021727
poecilia_reticulata ENSPREG00000021706
poecilia_latipinna ENSPLAG00000017469
xiphophorus_maculatus ENSXMAG00000000797
fundulus_heteroclitus ENSFHEG00000008996
cyprinodon_variegatus ENSCVAG00000017130
kryptolebias_marmoratus ENSKMAG00000004854
mola_mola ENSMMOG00000009571
tetraodon_nigroviridis ENSTNIG00000011194
amphiprion_ocellaris ENSAOCG00000020435
amphiprion_percula ENSAPEG00000019414
acanthochromis_polyacanthus ENSAPOG00000008566
stegastes_partitus ENSSPAG00000011592
mastacembelus_armatus ENSMAMG00000018290
monopterus_albus ENSMALG00000019550
anabas_testudineus ENSATEG00000019500
maylandia_zebra ENSMZEG00005002330
pundamilia_nyererei ENSPNYG00000023183
astatotilapia_calliptera ENSACLG00000009269
