periophthalmus_magnuspinnatus ENSPMGG00000009182
acanthochromis_polyacanthus ENSAPOG00000018949
oryzias_latipes_asm223469v1 ENSORLG00015022322
oryzias_latipes_asm223467v1 ENSORLG00000019205
oryzias_melastigma ENSOMEG00000010004
kryptolebias_marmoratus ENSKMAG00000006066
amphiprion_percula ENSAPEG00000009899
fundulus_heteroclitus ENSFHEG00000021277
cyprinodon_variegatus ENSCVAG00000019710
poecilia_mexicana ENSPMEG00000009970
poecilia_formosa ENSPFOG00000005462
poecilia_reticulata ENSPREG00000002706
xiphophorus_maculatus ENSXMAG00000023388
stegastes_partitus ENSSPAG00000006440
xiphophorus_couchianus ENSXCOG00000020706
poecilia_latipinna ENSPLAG00000023637
takifugu_rubripes ENSTRUG00000002771
amphiprion_ocellaris ENSAOCG00000018493
cynoglossus_semilaevis ENSCSEG00000000498
mola_mola ENSMMOG00000019713
hippocampus_comes ENSHCOG00000015069
anabas_testudineus ENSATEG00000007785
mastacembelus_armatus ENSMAMG00000013848
seriola_dumerili ENSSDUG00000002424
seriola_lalandi_dorsalis ENSSLDG00000006056
labrus_bergylta ENSLBEG00000009835
monopterus_albus ENSMALG00000008528
maylandia_zebra ENSMZEG00005015822
haplochromis_burtoni ENSHBUG00000020576
astatotilapia_calliptera ENSACLG00000002753
pundamilia_nyererei ENSPNYG00000020314
neolamprologus_brichardi ENSNBRG00000021991
oreochromis_niloticus ENSONIG00000010840
amphilophus_citrinellus ENSACIG00000008042
labrus_bergylta ENSLBEG00000007961
takifugu_rubripes ENSTRUG00000025818
amphiprion_ocellaris ENSAOCG00000002444
scophthalmus_maximus ENSSMAG00000017440
gambusia_affinis ENSGAFG00000021936
scleropages_formosus ENSSFOG00015023704
astyanax_mexicanus ENSAMXG00000025456
pygocentrus_nattereri ENSPNAG00000001843
ictalurus_punctatus ENSIPUG00000008172
danio_rerio ENSDARG00000020475
esox_lucius ENSELUG00000011309
paramormyrops_kingsleyae ENSPKIG00000015361
panthera_tigris_altaica ENSPTIG00000010189
panthera_pardus ENSPPRG00000005131
felis_catus ENSFCAG00000012191
ursus_americanus ENSUAMG00000017634
ailuropoda_melanoleuca ENSAMEG00000001276
