sus_scrofa ENSSSCG00000003317
tursiops_truncatus ENSTTRG00000000302
bison_bison_bison ENSBBBG00000024072
bos_taurus ENSBTAG00000002904
capra_hircus ENSCHIG00000024626
neovison_vison ENSNVIG00000012745
mustela_putorius_furo ENSMPUG00000006732
canis_lupus_dingo ENSCAFG00020015169
canis_lupus_familiaris ENSCAFG00000002481
vulpes_vulpes ENSVVUG00000006653
felis_catus ENSFCAG00000041841
equus_asinus_asinus ENSEASG00005020489
equus_caballus ENSECAG00000033356
pteropus_vampyrus ENSPVAG00000008689
panthera_pardus ENSPPRG00000009898
carlito_syrichta ENSTSYG00000027764
propithecus_coquereli ENSPCOG00000024408
prolemur_simus ENSPSMG00000024951
microcebus_murinus ENSMICG00000042044
otolemur_garnettii ENSOGAG00000013360
rhinopithecus_bieti ENSRBIG00000044199
rhinopithecus_roxellana ENSRROG00000003606
piliocolobus_tephrosceles ENSPTEG00000000548
theropithecus_gelada ENSTGEG00000013745
cercocebus_atys ENSCATG00000034101
papio_anubis ENSPANG00000025615
macaca_fascicularis ENSMFAG00000030245
macaca_mulatta ENSMMUG00000022338
macaca_nemestrina ENSMNEG00000040695
chlorocebus_sabaeus ENSCSAG00000001683
homo_sapiens ENSG00000142409
gorilla_gorilla ENSGGOG00000026899
saimiri_boliviensis_boliviensis ENSSBOG00000028445
cebus_capucinus_imitator ENSCCAG00000030754
callithrix_jacchus ENSCJAG00000020268
aotus_nancymaae ENSANAG00000026047
microtus_ochrogaster ENSMOCG00000002278
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000277
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046792
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030214
mus_spicilegus ENSMSIG00000000104
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029153
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021022
rattus_norvegicus ENSRNOG00000015456
meriones_unguiculatus ENSMUGG00000004509
cavia_porcellus ENSCPOG00000037493
cavia_aperea ENSCAPG00000009487
octodon_degus ENSODEG00000009807
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009101
urocitellus_parryii ENSUPAG00010020140
ictidomys_tridecemlineatus ENSSTOG00000028658
ochotona_princeps ENSOPRG00000016183
ovis_aries ENSOARG00000003242
sorex_araneus ENSSARG00000010845
ailuropoda_melanoleuca ENSAMEG00000009535
castor_canadensis ENSCCNG00000005680
cricetulus_griseus_crigri-picr ENSCGRG00015005115
dasypus_novemcinctus ENSDNOG00000015835
loxodonta_africana ENSLAFG00000028422
procavia_capensis ENSPCAG00000003952
echinops_telfairi ENSETEG00000000601
notamacropus_eugenii ENSMEUG00000014663
phascolarctos_cinereus ENSPCIG00000004675
pogona_vitticeps ENSPVIG00000023915
